dataset,segment,A,B,n,frac_A_distal,consistency
pedigree,distal,ACRO,DJ,64,1.0,1.0
pedigree,distal,ACRO,bSat,59,0.6949,0.6949
pedigree,distal,ACRO,HSat1A,66,0.6212,0.6212
pedigree,distal,ACRO,HSat3,67,0.6119,0.6119
pedigree,distal,ACRO,OTHERSAT,36,1.0,1.0
pedigree,distal,DJ,bSat,59,0.0,1.0
pedigree,distal,DJ,HSat1A,66,0.0,1.0
pedigree,distal,DJ,HSat3,67,0.0,1.0
pedigree,distal,DJ,OTHERSAT,36,0.0,1.0
pedigree,distal,bSat,HSat1A,61,0.9836,0.9836
pedigree,distal,bSat,HSat3,63,0.9524,0.9524
pedigree,distal,bSat,OTHERSAT,33,1.0,1.0
pedigree,distal,HSat1A,HSat3,69,0.3623,0.6377
pedigree,distal,HSat1A,OTHERSAT,37,1.0,1.0
pedigree,distal,HSat3,OTHERSAT,37,1.0,1.0
pedigree,proximal,ACRO,bSat,16,1.0,1.0
pedigree,proximal,ACRO,HSat1B,16,0.0,1.0
pedigree,proximal,ACRO,HSat3,17,0.0588,0.9412
pedigree,proximal,SST1,bSat,26,0.0,1.0
pedigree,proximal,SST1,HSat1A,27,1.0,1.0
pedigree,proximal,SST1,HSat1B,14,0.0,1.0
pedigree,proximal,SST1,HSat3,26,0.0,1.0
pedigree,proximal,bSat,HSat1A,29,1.0,1.0
pedigree,proximal,bSat,HSat1B,70,0.6143,0.6143
pedigree,proximal,bSat,HSat3,92,0.6848,0.6848
pedigree,proximal,HSat1A,HSat1B,16,0.0,1.0
pedigree,proximal,HSat1A,HSat3,29,0.0,1.0
pedigree,proximal,HSat1B,HSat3,70,0.8714,0.8714
hprc,distal,bSat,HSat1A,18,1.0,1.0
hprc,distal,bSat,HSat3,18,1.0,1.0
hprc,distal,bSat,OTHERSAT,18,0.3889,0.6111
hprc,distal,HSat1A,HSat3,18,0.3889,0.6111
hprc,distal,HSat1A,OTHERSAT,18,0.3889,0.6111
hprc,distal,HSat3,OTHERSAT,18,0.3889,0.6111
hprc,proximal,bSat,HSat1A,21,1.0,1.0
hprc,proximal,bSat,HSat1B,41,0.6098,0.6098
hprc,proximal,bSat,HSat3,53,0.5849,0.5849
hprc,proximal,bSat,OTHERSAT,53,0.0566,0.9434
hprc,proximal,HSat1A,HSat1B,14,0.0,1.0
hprc,proximal,HSat1A,HSat3,21,0.0,1.0
hprc,proximal,HSat1A,OTHERSAT,21,0.0,1.0
hprc,proximal,HSat1B,HSat3,41,0.8537,0.8537
hprc,proximal,HSat1B,OTHERSAT,41,0.3415,0.6585
hprc,proximal,HSat3,OTHERSAT,53,0.0943,0.9057
