fam,Mb,median_mu_bp,pct_anchor_150bp,pct_anchor_10kb,pct_anchor_100kb,pct_anchor_1Mb
bsat,5.816517,245.0,48.13566263109005,98.50334830964992,100.0,100.0
censat,2.44027,831.5,21.003413556696596,97.5254377589365,100.0,100.0
ct,14.982535,254.0,39.41626033244708,99.05996548648143,100.0,100.0
dhor,0.047445,212.0,36.785751923279584,100.0,100.0,100.0
hor,1.656273,2138.0,12.18277421656937,99.36991063671266,100.0,100.0
hsat1A,8.732652,658.0,17.247899034565904,98.8401118010886,100.0,100.0
hsat1B,0.985966,520.0,23.32098672773706,100.0,100.0,100.0
hsat3,15.292505,1073.0,31.311103053423885,98.93936931849949,100.0,100.0
mon,3.620589,157.0,47.237617967684265,99.54151106353137,100.0,100.0
rDNA,9.928083,564793.0,0.48843266116933143,7.71295928932101,16.118710933419873,71.69191675774668
