tig,fam,start,end
K200080_1_haplotype1-0000006_chr14,bSat,350475,449643
K200080_1_haplotype1-0000006_chr14,HSat1B,1056770,1178802
K200080_1_haplotype1-0000006_chr14,HSat3,1183675,1238327
K200080_1_haplotype1-0000006_chr14,HSat3,1717104,2672775
K200080_1_haplotype1-0000006_chr14,aSat,6891030,7948650
K200080_1_haplotype1-0000016_chr22,rDNA,31,221698
K200080_1_haplotype1-0000016_chr22,rDNA,316662,562099
K200080_1_haplotype1-0000016_chr22,bSat,930509,997294
K200080_1_haplotype1-0000016_chr22,HSat1B,1337926,1455156
K200080_1_haplotype1-0000016_chr22,HSat3,1456169,1661754
K200080_1_haplotype1-0000016_chr22,ACRO,1773370,1881025
K200080_1_haplotype1-0000016_chr22,bSat,2322564,2491032
K200080_1_haplotype1-0000016_chr22,HSat3,2821073,2905735
K200080_1_haplotype1-0000016_chr22,bSat,3240679,3343183
K200080_1_haplotype1-0000016_chr22,bSat,3522407,3582816
K200080_1_haplotype1-0000016_chr22,HSat3,4671416,4765452
K200080_1_haplotype1-0000016_chr22,aSat,6655185,9669324
K200080_1_haplotype1-0000024_chr13,rDNA,186,310420
K200080_1_haplotype1-0000024_chr13,bSat,675056,736118
K200080_1_haplotype1-0000024_chr13,HSat3,761310,855256
K200080_1_haplotype1-0000024_chr13,HSat1B,1133431,1234583
K200080_1_haplotype1-0000024_chr13,HSat3,1239395,1426726
K200080_1_haplotype1-0000024_chr13,HSat3,1647468,1769649
K200080_1_haplotype1-0000024_chr13,SST1,3462837,3556366
K200080_1_haplotype1-0000024_chr13,OTHERSAT,4068760,4122743
K200080_1_haplotype1-0000024_chr13,HSat1A,5090106,5309104
K200080_1_haplotype1-0000026_chr15,HSat3,44165,204670
K200080_1_haplotype1-0000026_chr15,bSat,209585,828535
K200080_1_haplotype1-0000026_chr15,ACRO,1129534,1216648
K200080_1_haplotype1-0000026_chr15,DJ,1315323,1646840
K200080_1_haplotype1-0000026_chr15,rDNA,1785325,2010388
K200080_1_haplotype1-0000026_chr15,bSat,2375278,2436408
K200080_1_haplotype1-0000026_chr15,HSat3,2461981,2519885
K200080_1_haplotype1-0000026_chr15,HSat1B,2829517,3112716
K200080_1_haplotype1-0000026_chr15,HSat3,3118048,3261043
K200080_1_haplotype1-0000026_chr15,HSat3,3747881,6845168
K200080_1_haplotype1-0000026_chr15,aSat,9597260,10008374
K200080_1_haplotype1-0000030_chr21,HSat1A,0,80119
K200080_2_haplotype2-0000055_chr14,rDNA,29,181735
K200080_2_haplotype2-0000055_chr14,bSat,481944,544029
K200080_2_haplotype2-0000055_chr14,HSat3,558843,808492
K200080_2_haplotype2-0000055_chr14,HSat1B,1153108,1260793
K200080_2_haplotype2-0000055_chr14,HSat3,1266021,1528750
K200080_2_haplotype2-0000055_chr14,aSat,6154422,6417768
K200080_2_haplotype2-0000063_chr22,ACRO,66202,221486
K200080_2_haplotype2-0000063_chr22,bSat,488794,784766
K200080_2_haplotype2-0000063_chr22,HSat3,911739,1249294
K200080_2_haplotype2-0000063_chr22,HSat1A,1249662,1315958
K200080_2_haplotype2-0000063_chr22,HSat3,1342924,1495463
K200080_2_haplotype2-0000063_chr22,ACRO,1705705,1767056
K200080_2_haplotype2-0000063_chr22,OTHERSAT,2085931,2143345
K200080_2_haplotype2-0000063_chr22,DJ,2170372,2503552
K200080_2_haplotype2-0000063_chr22,rDNA,2503552,2558608
K200080_2_haplotype2-0000063_chr22,rDNA,2658608,2712010
K200080_2_haplotype2-0000063_chr22,bSat,3079922,3147209
K200080_2_haplotype2-0000063_chr22,HSat3,3172209,3223238
K200080_2_haplotype2-0000063_chr22,HSat1B,3508653,3581649
K200080_2_haplotype2-0000063_chr22,HSat3,3582317,3753352
K200080_2_haplotype2-0000063_chr22,ACRO,3998001,4067776
K200080_2_haplotype2-0000063_chr22,bSat,4516075,4602530
K200080_2_haplotype2-0000063_chr22,HSat3,5007077,5091622
K200080_2_haplotype2-0000063_chr22,bSat,5426278,5527261
K200080_2_haplotype2-0000063_chr22,bSat,5587873,5702186
K200080_2_haplotype2-0000063_chr22,HSat3,6793725,6891355
K200080_2_haplotype2-0000063_chr22,aSat,9012303,9551400
K200080_2_haplotype2-0000071_chr15,HSat3,307346,369098
K200080_2_haplotype2-0000071_chr15,bSat,409736,508904
K200080_2_haplotype2-0000071_chr15,HSat1B,1115066,1705797
K200080_2_haplotype2-0000071_chr15,HSat3,1713575,1840840
K200080_2_haplotype2-0000071_chr15,HSat3,2134977,8249598
K200080_2_haplotype2-0000075_chr13,rDNA,0,94541
K200080_2_haplotype2-0000075_chr13,bSat,459362,520492
K200080_2_haplotype2-0000075_chr13,HSat3,545611,639704
K200080_2_haplotype2-0000075_chr13,HSat1B,917885,994951
K200080_2_haplotype2-0000075_chr13,HSat3,999621,1198428
K200080_2_haplotype2-0000075_chr13,HSat3,1420402,1564027
K200080_2_haplotype2-0000075_chr13,HSat1A,4766506,4960283
K200081_1_haplotype1-0000011_chr15,HSat3,312993,374745
K200081_1_haplotype1-0000011_chr15,bSat,415383,514551
K200081_1_haplotype1-0000011_chr15,HSat1B,1120716,1711447
K200081_1_haplotype1-0000011_chr15,HSat3,1719225,1853361
K200081_1_haplotype1-0000011_chr15,HSat3,2140627,5270257
K200081_1_haplotype1-0000019_chr22,ACRO,65619,239318
K200081_1_haplotype1-0000019_chr22,bSat,469684,631758
K200081_1_haplotype1-0000019_chr22,bSat,810580,1134302
K200081_1_haplotype1-0000019_chr22,HSat3,1140659,1405511
K200081_1_haplotype1-0000019_chr22,HSat1A,1406568,1469494
K200081_1_haplotype1-0000019_chr22,HSat3,1617000,1720721
K200081_1_haplotype1-0000019_chr22,ACRO,1887595,2017567
K200081_1_haplotype1-0000019_chr22,DJ,2125494,2458553
K200081_1_haplotype1-0000019_chr22,rDNA,2458553,2513581
K200081_1_haplotype1-0000019_chr22,rDNA,2613609,2910312
K200081_1_haplotype1-0000019_chr22,bSat,3278683,3345534
K200081_1_haplotype1-0000019_chr22,HSat3,3370654,3429285
K200081_1_haplotype1-0000019_chr22,HSat1B,3715454,3825367
K200081_1_haplotype1-0000019_chr22,HSat3,3826390,4033241
K200081_1_haplotype1-0000019_chr22,ACRO,4144766,4252401
K200081_1_haplotype1-0000019_chr22,bSat,4693815,4748565
K200081_1_haplotype1-0000019_chr22,HSat3,5184935,5269415
K200081_1_haplotype1-0000019_chr22,bSat,5604387,5705377
K200081_1_haplotype1-0000019_chr22,bSat,5788992,5880097
K200081_1_haplotype1-0000019_chr22,HSat3,6966319,7050419
K200081_1_haplotype1-0000019_chr22,aSat,8980057,9882749
K200081_1_haplotype1-0000023_chr13,HSat3,31,105744
