individual,chrom,hap,ident_vs_G2,size_div_vs_G2,ident_vs_best_G3,n_G3_tied,G3_tied
K200080,chr13,1,0.8889,0.0522,0.8889,2,NA12879;NA12885
K200080,chr13,2,0.875,0.1441,0.875,2,NA12879;NA12882
K200080,chr14,1,0.6,1.005,0.6,5,NA12879;NA12883;NA12884;NA12885;NA12887
K200080,chr14,2,0.6667,1.4431,0.6667,2,NA12882;NA12886
K200080,chr15,1,0.8,0.272,0.8571,1,NA12887
K200080,chr15,2,0.8,0.5669,0.8,5,NA12879;NA12882;NA12885;NA12886;NA12887
K200080,chr22,1,0.9167,0.093,0.9231,1,NA12879
K200080,chr22,2,1.0,0.2384,1.0,1,NA12884
K200081,chr13,2,0.7143,0.029,0.7143,4,NA12879;NA12882;NA12885;NA12886
K200081,chr14,1,0.9231,0.0,1.0,1,NA12881
K200081,chr14,2,0.6667,1.4431,0.6667,2,NA12882;NA12886
K200081,chr15,1,0.8,0.5435,0.8,1,NA12885
K200081,chr15,2,0.9231,0.0,1.0,1,NA12879
K200081,chr22,1,1.0,0.0,1.0,2,NA12879;NA12884
K200081,chr22,2,1.0,0.363,1.0,1,NA12884
K200082,chr14,1,0.6667,0.2323,0.7273,1,NA12881
K200082,chr14,2,1.0,0.0039,1.0,4,NA12879;NA12881;NA12884;NA12886
K200082,chr21,1,0.9231,0.4595,0.9231,4,NA12879;NA12881;NA12884;NA12885
K200082,chr21,2,1.0,0.0,1.0,3,NA12879;NA12881;NA12883
K200082,chr22,1,0.9167,0.0872,1.0,1,NA12885
K200082,chr22,2,1.0,0.0,1.0,4,NA12879;NA12882;NA12884;NA12886
K200084,chr13,2,0.875,0.029,0.875,4,NA12879;NA12882;NA12885;NA12886
K200084,chr14,1,0.5556,0.3141,0.5556,3,NA12882;NA12885;NA12887
K200084,chr14,2,1.0,0.0,1.0,4,NA12879;NA12883;NA12885;NA12887
K200084,chr15,1,0.8,0.5812,0.8571,1,NA12887
K200084,chr15,2,1.0,0.0023,1.0,2,NA12879;NA12887
K200084,chr21,1,1.0,0.0031,1.0,2,NA12879;NA12883
K200084,chr21,2,1.0,0.1101,1.0,7,NA12879;NA12881;NA12882;NA12883;NA12884;NA12885;NA12886
K200084,chr22,1,1.0,0.0011,1.0,2,NA12879;NA12884
K200084,chr22,2,1.0,0.1987,1.0,1,NA12884
K200085,chr13,1,0.5,0.4692,0.625,1,NA12881
K200085,chr14,1,0.6667,0.9989,0.6667,2,NA12882;NA12886
K200085,chr14,2,1.0,0.0,1.0,4,NA12879;NA12883;NA12885;NA12887
K200085,chr15,1,0.8333,2.7085,0.8333,1,NA12884
K200085,chr15,2,0.8,0.4771,0.8,1,NA12884
K200085,chr21,1,0.875,0.1486,0.875,1,NA12879
K200085,chr22,1,1.0,0.0,1.0,2,NA12879;NA12884
K200085,chr22,2,0.9167,0.2003,0.9167,1,NA12884
K200086,chr22,1,1.0,0.0012,1.0,6,NA12879;NA12881;NA12882;NA12884;NA12885;NA12886
K200086,chr22,2,0.2,,0.2,7,NA12879;NA12882;NA12883;NA12884;NA12885;NA12886;NA12887
K200087,chr14,1,0.6,1.005,0.6,5,NA12879;NA12883;NA12884;NA12885;NA12887
K200087,chr14,2,1.0,0.0026,1.0,5,NA12879;NA12881;NA12883;NA12884;NA12886
K200087,chr15,1,0.8,1.5565,0.8,1,NA12884
K200087,chr15,2,0.6,0.8851,0.6,5,NA12879;NA12882;NA12885;NA12886;NA12887
K200087,chr22,1,1.0,0.0069,1.0,2,NA12881;NA12885
K200087,chr22,2,1.0,0.0,1.0,4,NA12879;NA12882;NA12884;NA12886
