chrom,start,end,fam,kb
chr13,0,2540,censat,2.54
chr13,2540,65257,hsat3,62.717
chr13,65257,4973153,hsat1A,4907.896
chr13,4973153,5000116,bsat,26.963
chr13,5000116,5152650,hsat3,152.534
chr13,5152650,5264112,ct,111.462
chr13,5264112,5266737,censat,2.625
chr13,5266737,5270328,ct,3.591
chr13,5270328,5271696,censat,1.368
chr13,5271696,5325025,ct,53.329
chr13,5325025,5327159,censat,2.134
chr13,5327159,5330083,ct,2.924
chr13,5330083,5333927,censat,3.844
chr13,5333927,5338346,ct,4.419
chr13,5338346,5358151,censat,19.805
chr13,5358151,5369400,ct,11.249
chr13,5369400,5424523,censat,55.123
chr13,5424523,5448211,ct,23.688
chr13,5448211,5450627,gsat,2.416
chr13,5450627,5455783,ct,5.156
chr13,5455783,5467957,bsat,12.174
chr13,5467957,5638362,ct,170.405
chr13,5638362,5650823,bsat,12.461
chr13,5650823,5770548,ct,119.725
chr13,5770548,9348041,rDNA,3577.493
chr13,9348041,9356166,censat,8.125
chr13,9356166,9389035,ct,32.869
chr13,9389035,9398072,censat,9.037
chr13,9398072,9405275,gsat,7.203
chr13,9405275,9429676,ct,24.401
chr13,9429676,9433528,censat,3.852
chr13,9433528,9436457,ct,2.929
chr13,9436457,9438504,censat,2.047
chr13,9438504,9594120,ct,155.616
chr13,9594120,9627520,hsat3,33.4
chr13,9627520,9796372,bsat,168.852
chr13,9796372,9802883,hsat1A,6.511
chr13,9802883,9891532,hsat3,88.649
chr13,9891532,9940993,ct,49.461
chr13,9940993,9956401,bsat,15.408
chr13,9956401,9967744,hsat3,11.343
chr13,9967744,10154534,ct,186.79
chr13,10154534,10157059,censat,2.525
chr13,10157059,10165986,ct,8.927
chr13,10165986,10219675,hsat1B,53.689
chr13,10219675,10407295,hsat3,187.62
chr13,10407295,10425695,ct,18.4
chr13,10425695,10428614,censat,2.919
chr13,10428614,10451876,ct,23.262
chr13,10451876,10455552,gsat,3.676
chr13,10455552,10456388,ct,0.836
chr13,10456388,10469104,censat,12.716
chr13,10469104,10479035,ct,9.931
chr13,10479035,10480398,censat,1.363
chr13,10480398,10497523,ct,17.125
chr13,10497523,10499652,censat,2.129
chr13,10499652,10512131,ct,12.479
chr13,10512131,10513010,censat,0.879
chr13,10513010,10513356,ct,0.346
chr13,10513356,10627789,censat,114.433
chr13,10627789,10733822,hsat3,106.033
chr13,10733822,10738003,bsat,4.181
chr13,10738003,10750200,hsat1A,12.197
chr13,10750200,10769666,hsat1B,19.466
chr13,10769666,10961021,ct,191.355
chr13,10961021,10970443,hsat3,9.422
chr13,10970443,10987609,ct,17.166
chr13,10987609,10989461,censat,1.852
chr13,10989461,11021233,ct,31.772
chr13,11021233,11023216,censat,1.983
chr13,11023216,11048571,ct,25.355
chr13,11048571,11049299,censat,0.728
chr13,11049299,11070649,ct,21.35
chr13,11070649,11143577,hsat3,72.928
chr13,11143577,11155531,mon,11.954
chr13,11155531,11191439,hor,35.908
chr13,11191439,11334389,mon,142.95
chr13,11334389,11370461,hsat3,36.072
chr13,11370461,11417952,mon,47.491
chr13,11417952,11430303,hsat3,12.351
chr13,11430303,11490233,mon,59.93
chr13,11490233,11615705,ct,125.472
chr13,11615705,11617863,bsat,2.158
chr13,11617863,11621148,censat,3.285
chr13,11621148,11700049,ct,78.901
chr13,11700049,11701523,censat,1.474
chr13,11701523,11709200,bsat,7.677
chr13,11709200,11737545,ct,28.345
chr13,11737545,11812455,mon,74.91
chr13,11812455,11831237,hor,18.782
chr13,11831237,11837443,mon,6.206
chr13,11837443,11948431,hsat3,110.988
chr13,11948431,12068771,ct,120.34
chr13,12068771,12070712,censat,1.941
chr13,12070712,12084441,ct,13.729
chr13,12084441,12085439,censat,0.998
chr13,12085439,12301366,ct,215.927
chr13,12301366,12440010,censat,138.644
chr13,12440010,12718342,ct,278.332
chr13,12718342,12720259,censat,1.917
chr13,12720259,12725915,gsat,5.656
chr13,12725915,12735050,censat,9.135
chr13,12735050,12836659,ct,101.609
chr13,12836659,12839246,censat,2.587
chr13,12839246,12842110,bsat,2.864
chr13,12842110,12968162,ct,126.052
chr13,12968162,13033845,mon,65.683
chr13,13033845,13038321,hsat3,4.476
chr13,13038321,13111485,mon,73.164
chr13,13111485,13119194,hsat3,7.709
chr13,13119194,13172020,mon,52.826
chr13,13172020,13243683,hsat3,71.663
chr13,13243683,13322481,mon,78.798
chr13,13322481,13410442,hsat3,87.961
chr13,13410442,13433611,ct,23.169
chr13,13433611,13434116,censat,0.505
chr13,13434116,13444402,ct,10.286
chr13,13444402,13444624,censat,0.222
chr13,13444624,13694067,ct,249.443
chr13,13694067,13700989,hsat1B,6.922
chr13,13700989,13923837,ct,222.848
chr13,13923837,13940927,hsat1B,17.09
chr13,13940927,15547593,hsat1A,1606.666
chr13,15547593,17508596,hor,1961.003
chr13,17508596,17515884,dhor,7.288
chr13,17515884,17576696,mon,60.812
chr13,17576696,17710409,ct,133.713
chr13,17710409,17720072,censat,9.663
chr13,17720072,17959655,ct,239.583
chr13,17959655,17960517,censat,0.862
chr13,17960517,18004818,ct,44.301
chr13,18004818,18005403,censat,0.585
chr13,18005403,18137682,ct,132.279
chr13,18137682,18139572,gsat,1.89
chr13,18139572,20484601,ct,2345.029
chr13,20484601,20485259,mon,0.658
chr13,20485259,22498291,ct,2013.032
chr14,0,225617,censat,225.617
chr14,225617,230957,ct,5.34
chr14,230957,234807,censat,3.85
chr14,234807,260746,ct,25.939
chr14,260746,632814,censat,372.068
chr14,632814,740363,ct,107.549
chr14,740363,763497,hsat3,23.134
chr14,763497,965061,bsat,201.564
chr14,965061,1246654,hsat3,281.593
chr14,1246654,1313023,hsat1A,66.369
chr14,1313023,1339985,bsat,26.962
chr14,1339985,1453417,hsat3,113.432
chr14,1453417,1565957,ct,112.54
chr14,1565957,1567205,censat,1.248
chr14,1567205,1570796,ct,3.591
chr14,1570796,1572164,censat,1.368
chr14,1572164,1625478,ct,53.314
chr14,1625478,1627614,censat,2.136
chr14,1627614,1630538,ct,2.924
