chrom,fam,bp,acc
chr13,bsat,252738,2227
chr13,censat,412735,8908
chr13,ct,2930771,132946
chr13,hor,55097,0
chr13,hsat1A,6533270,7679
chr13,hsat1B,97167,14762
chr13,hsat3,1055866,71223
chr13,mon,613912,376
chr13,rDNA,3577493,0
chr14,bsat,1191027,192244
chr14,censat,869002,10772
chr14,ct,3889727,73551
chr14,hor,151736,15
chr14,hsat1A,117765,19651
chr14,hsat1B,93127,4098
chr14,hsat3,1883835,199664
chr14,mon,1128031,64917
chr14,rDNA,718274,585
chr15,bsat,994927,25899
chr15,censat,428567,8991
chr15,ct,1801857,334834
chr15,hor,835892,6031
chr15,hsat1A,308910,510
chr15,hsat1B,444131,232
chr15,hsat3,8750324,344329
chr15,mon,882970,572587
chr15,rDNA,2201043,0
chr21,bsat,1033402,126314
chr21,censat,536702,2378
chr21,ct,3572227,42335
chr21,hor,88835,122
chr21,hsat1A,911880,11543
chr21,hsat1B,66373,2668
chr21,hsat3,1602801,118147
chr21,mon,619984,190
chr21,rDNA,2504417,0
chr22,bsat,2644855,127508
chr22,censat,816283,14624
chr22,ct,3694199,100862
chr22,hor,571082,136
chr22,hsat1A,922739,1714
chr22,hsat1B,390439,8417
chr22,hsat3,2243143,122474
chr22,mon,528205,26342
chr22,rDNA,926856,20
