group,segment,slot,seed,top1,top2,top3
pooled,distal,0,NONSAT,NONSAT:0.937,HSat1A:0.034,ACRO:0.003
pooled,distal,1,UNK,ACRO:0.831,HSat3:0.122,DJ:0.004
pooled,distal,2,NONSAT,NONSAT:0.987,ACRO:0.001,DJ:0.001
pooled,distal,3,bSat,bSat:0.987,ACRO:0.001,DJ:0.001
pooled,distal,4,HSat3,HSat3:0.987,ACRO:0.001,DJ:0.001
pooled,distal,5,HSat1A,HSat1A:0.980,bSat:0.005,NONSAT:0.005
pooled,distal,6,HSat3,HSat3:0.988,ACRO:0.001,DJ:0.001
pooled,distal,7,NONSAT,NONSAT:0.988,ACRO:0.001,DJ:0.001
pooled,distal,8,UNK,ACRO:0.758,DJ:0.189,HSat1B:0.018
pooled,distal,9,NONSAT,NONSAT:0.868,DJ:0.118,ACRO:0.001
chr13,proximal,0,NONSAT,NONSAT:0.978,ACRO:0.002,DJ:0.002
chr13,proximal,1,bSat,bSat:0.955,ACRO:0.004,DJ:0.004
chr13,proximal,2,HSat3,HSat3:0.974,ACRO:0.002,DJ:0.002
chr13,proximal,3,NONSAT,bSat:0.488,NONSAT:0.488,ACRO:0.002
chr13,proximal,4,HSat3,HSat3:0.939,ACRO:0.005,DJ:0.005
chr13,proximal,5,NONSAT,NONSAT:0.757,HSat1B:0.212,ACRO:0.003
chr13,proximal,6,HSat3,HSat3:0.976,ACRO:0.002,DJ:0.002
chr13,proximal,7,HSat1B,HSat1B:0.943,ACRO:0.005,DJ:0.005
chr13,proximal,8,NONSAT,NONSAT:0.977,ACRO:0.002,DJ:0.002
chr13,proximal,9,HSat3,HSat3:0.978,ACRO:0.002,DJ:0.002
chr13,proximal,10,NONSAT,NONSAT:0.978,ACRO:0.002,DJ:0.002
chr13,proximal,11,HSat3,HSat3:0.978,ACRO:0.002,DJ:0.002
chr13,proximal,12,NONSAT,NONSAT:0.978,ACRO:0.002,DJ:0.002
chr13,proximal,13,UNK,HSat3:0.469,SST1:0.434,ACRO:0.009
chr13,proximal,14,NONSAT,NONSAT:0.971,ACRO:0.002,DJ:0.002
chr13,proximal,15,HSat3,HSat3:0.976,ACRO:0.002,DJ:0.002
chr13,proximal,16,NONSAT,NONSAT:0.978,ACRO:0.002,DJ:0.002
chr13,proximal,17,HSat1A,HSat1A:0.978,ACRO:0.002,DJ:0.002
chr14,proximal,0,NONSAT,NONSAT:0.979,ACRO:0.002,DJ:0.002
chr14,proximal,1,bSat,bSat:0.972,ACRO:0.002,DJ:0.002
chr14,proximal,2,HSat3,HSat3:0.599,NONSAT:0.373,ACRO:0.003
chr14,proximal,3,NONSAT,NONSAT:0.514,HSat1B:0.453,bSat:0.011
chr14,proximal,4,HSat3,HSat3:0.923,HSat1B:0.053,ACRO:0.002
chr14,proximal,5,bSat,bSat:0.918,HSat3:0.054,ACRO:0.003
chr14,proximal,6,NONSAT,NONSAT:0.974,ACRO:0.002,DJ:0.002
chr14,proximal,7,HSat3,HSat3:0.979,ACRO:0.002,DJ:0.002
chr14,proximal,8,bSat,bSat:0.765,NONSAT:0.149,HSat1B:0.061
chr14,proximal,9,HSat3,HSat3:0.815,HSat1B:0.151,ACRO:0.003
chr14,proximal,10,NONSAT,NONSAT:0.972,ACRO:0.002,DJ:0.002
chr14,proximal,11,HSat3,HSat3:0.973,ACRO:0.002,DJ:0.002
chr14,proximal,12,NONSAT,NONSAT:0.974,ACRO:0.002,DJ:0.002
chr14,proximal,13,UNK,HSat1B:0.575,bSat:0.150,HSat3:0.150
chr14,proximal,14,NONSAT,NONSAT:0.957,ACRO:0.004,DJ:0.004
chr14,proximal,15,HSat3,HSat3:0.979,ACRO:0.002,DJ:0.002
chr14,proximal,16,NONSAT,NONSAT:0.980,ACRO:0.002,DJ:0.002
chr14,proximal,17,HSat3,HSat3:0.981,ACRO:0.002,DJ:0.002
chr14,proximal,18,NONSAT,NONSAT:0.980,ACRO:0.002,DJ:0.002
chr14,proximal,19,HSat3,HSat3:0.980,ACRO:0.002,DJ:0.002
chr14,proximal,20,NONSAT,NONSAT:0.982,ACRO:0.002,DJ:0.002
chr15,proximal,0,NONSAT,NONSAT:0.975,ACRO:0.002,DJ:0.002
chr15,proximal,1,bSat,bSat:0.905,HSat3:0.072,ACRO:0.002
chr15,proximal,2,NONSAT,NONSAT:0.973,ACRO:0.002,DJ:0.002
chr15,proximal,3,HSat1B,HSat1B:0.975,ACRO:0.002,DJ:0.002
chr15,proximal,4,HSat3,HSat3:0.974,ACRO:0.002,DJ:0.002
chr15,proximal,5,NONSAT,NONSAT:0.718,HSat1B:0.230,ACRO:0.005
chr15,proximal,6,HSat3,HSat3:0.906,HSat1B:0.042,ACRO:0.005
chr15,proximal,7,NONSAT,NONSAT:0.976,ACRO:0.002,DJ:0.002
chr15,proximal,8,HSat3,HSat3:0.976,ACRO:0.002,DJ:0.002
chr15,proximal,9,NONSAT,NONSAT:0.975,ACRO:0.002,DJ:0.002
chr21,proximal,0,NONSAT,NONSAT:0.978,ACRO:0.002,DJ:0.002
chr21,proximal,1,bSat,bSat:0.961,HSat1B:0.012,ACRO:0.002
chr21,proximal,2,HSat3,HSat3:0.976,ACRO:0.002,DJ:0.002
chr21,proximal,3,NONSAT,NONSAT:0.970,ACRO:0.002,DJ:0.002
chr21,proximal,4,HSat1B,HSat1B:0.783,bSat:0.187,ACRO:0.003
chr21,proximal,5,HSat3,HSat3:0.974,ACRO:0.002,DJ:0.002
chr21,proximal,6,NONSAT,NONSAT:0.968,ACRO:0.003,DJ:0.003
chr21,proximal,7,HSat3,HSat3:0.855,HSat1B:0.109,HSat1A:0.012
chr21,proximal,8,NONSAT,NONSAT:0.976,ACRO:0.002,DJ:0.002
chr21,proximal,9,HSat3,HSat3:0.978,ACRO:0.002,DJ:0.002
chr21,proximal,10,NONSAT,NONSAT:0.978,ACRO:0.002,DJ:0.002
chr21,proximal,11,HSat3,HSat3:0.978,ACRO:0.002,DJ:0.002
chr21,proximal,12,NONSAT,NONSAT:0.978,ACRO:0.002,DJ:0.002
chr21,proximal,13,UNK,SST1:0.781,HSat3:0.068,ACRO:0.014
chr21,proximal,14,NONSAT,NONSAT:0.971,ACRO:0.002,DJ:0.002
chr21,proximal,15,HSat3,HSat3:0.975,ACRO:0.002,DJ:0.002
chr21,proximal,16,NONSAT,NONSAT:0.978,ACRO:0.002,DJ:0.002
chr21,proximal,17,HSat1A,HSat1A:0.969,ACRO:0.003,DJ:0.003
chr22,proximal,0,NONSAT,NONSAT:0.983,ACRO:0.001,DJ:0.001
chr22,proximal,1,HSat3,HSat3:0.828,DJ:0.054,ACRO:0.011
chr22,proximal,2,bSat,bSat:0.979,ACRO:0.002,DJ:0.002
chr22,proximal,3,HSat3,HSat3:0.978,ACRO:0.002,DJ:0.002
chr22,proximal,4,NONSAT,NONSAT:0.982,ACRO:0.002,DJ:0.002
chr22,proximal,5,bSat,bSat:0.726,HSat3:0.123,ACRO:0.014
chr22,proximal,6,NONSAT,HSat1B:0.546,NONSAT:0.437,ACRO:0.002
chr22,proximal,7,HSat3,HSat3:0.982,ACRO:0.001,DJ:0.001
chr22,proximal,8,NONSAT,NONSAT:0.967,ACRO:0.003,DJ:0.003
chr22,proximal,9,bSat,bSat:0.978,ACRO:0.002,DJ:0.002
chr22,proximal,10,NONSAT,HSat3:0.980,ACRO:0.002,DJ:0.002
chr22,proximal,11,HSat1B,NONSAT:0.981,ACRO:0.002,DJ:0.002
chr22,proximal,12,HSat3,bSat:0.979,ACRO:0.002,DJ:0.002
