chrom,ident
chr21,0.7727
chr21,0.7273
chr21,0.7826
chr21,0.913
chr21,0.8571
chr21,0.8571
chr21,0.913
chr21,0.913
chr21,0.913
chr21,0.9091
chr21,0.7895
chr21,0.913
chr21,0.9091
chr21,0.7826
chr21,1.0
chr21,0.8696
chr21,0.7273
chr21,0.7826
chr21,0.8696
chr21,0.6957
chr21,0.8095
chr21,0.7368
chr21,0.7727
chr21,0.913
chr21,0.913
chr21,0.9091
chr21,0.8261
chr21,0.8571
chr21,0.8696
chr21,0.8696
chr21,0.8696
chr21,0.7826
chr21,0.913
chr21,0.913
chr21,0.7143
chr21,1.0
chr21,0.913
chr21,0.9091
chr21,0.8696
chr21,1.0
chr21,0.8235
chr21,0.75
chr21,1.0
chr21,0.913
chr21,0.75
chr21,0.913
chr21,0.913
chr21,0.8947
chr21,0.913
chr21,0.8696
chr21,0.913
chr21,0.913
chr21,0.9
chr21,0.8095
chr21,0.8947
chr21,0.85
chr21,0.8333
chr21,0.8095
chr21,0.9091
chr21,0.8095
chr21,0.9091
chr21,0.8182
chr21,0.7143
chr21,0.8182
chr21,0.8182
chr21,0.8182
chr21,0.8182
chr21,0.8095
chr21,0.8095
chr21,0.8182
chr21,0.8095
chr21,0.9091
chr21,0.75
chr21,0.8182
chr21,0.8095
chr21,0.9091
chr21,0.8182
chr21,0.7727
chr21,0.8636
chr21,0.8571
chr21,0.9048
chr21,0.8182
chr21,0.8182
chr21,0.8095
chr21,0.8696
chr21,0.8095
chr21,0.8182
chr21,0.8182
chr21,0.8182
chr21,0.9091
chr21,0.8182
chr21,0.8182
chr21,0.8636
chr21,0.7619
chr21,0.8182
chr21,0.8095
chr21,0.8182
chr21,0.7619
chr21,0.8824
chr21,0.8182
chr21,0.7619
chr21,0.913
chr21,0.8182
chr21,0.8182
chr21,0.8095
chr21,0.8182
chr21,0.8182
chr21,0.8182
chr21,0.8182
chr21,0.65
chr21,0.9091
chr21,0.8947
chr21,0.9
chr21,0.8889
chr21,0.8636
chr21,0.8095
chr21,0.7407
chr21,0.7826
chr21,0.6552
chr21,0.9
chr21,0.7826
chr21,0.7826
chr21,0.7826
chr21,0.8438
chr21,0.85
chr21,0.8182
chr21,0.8182
chr21,0.7333
chr21,0.6957
chr21,0.8667
chr21,1.0
chr21,0.9048
chr21,0.8182
chr21,0.8929
chr21,0.9
chr21,0.9474
chr21,0.9048
chr21,0.7826
chr21,0.8438
chr21,0.7826
chr21,0.875
chr21,0.8621
chr21,0.8182
chr21,0.8182
chr21,0.8182
chr21,0.8438
chr21,0.7826
chr21,0.95
chr21,0.6957
chr21,0.7826
chr21,0.8438
chr21,0.8182
chr21,0.6957
chr21,0.8824
chr21,1.0
chr21,0.6957
chr21,0.7826
chr21,0.875
chr21,0.7826
chr21,0.7826
chr21,0.8
chr21,0.7826
chr21,0.8182
chr21,0.7826
chr21,0.7826
chr21,0.6667
chr21,0.9
chr21,0.8889
chr21,0.7586
chr21,0.8824
chr21,0.9
chr21,0.7826
chr21,0.8333
chr21,0.7143
chr21,0.8571
chr21,0.8333
chr21,0.8333
chr21,0.8333
chr21,0.8148
chr21,0.7727
chr21,0.8696
chr21,0.8636
chr21,0.9643
chr21,0.7391
chr21,0.7857
chr21,0.7407
chr21,0.9545
chr21,0.7857
chr21,0.7586
chr21,0.9048
chr21,0.8
chr21,0.9524
chr21,0.8333
chr21,0.8214
chr21,0.8261
chr21,0.8214
chr21,0.7143
chr21,0.8696
chr21,0.8696
chr21,0.8696
chr21,1.0
chr21,0.8214
chr21,0.8333
chr21,0.8636
chr21,0.75
chr21,0.8333
chr21,0.8148
chr21,0.8696
chr21,0.75
chr21,0.9412
chr21,0.85
chr21,0.75
chr21,0.8333
chr21,0.7586
chr21,0.8333
chr21,0.8333
chr21,0.8095
chr21,0.8333
chr21,0.8696
chr21,0.8333
chr21,0.8333
chr21,0.6
chr21,1.0
chr21,0.9474
chr21,0.75
chr21,0.9444
chr21,0.9048
chr21,0.8261
chr21,0.75
chr21,0.9524
chr21,1.0
chr21,1.0
chr21,1.0
chr21,1.0
chr21,0.7143
chr21,1.0
chr21,1.0
chr21,0.8333
chr21,0.913
chr21,0.9583
chr21,0.7826
chr21,0.875
chr21,0.9583
chr21,0.75
chr21,0.9048
chr21,0.8
chr21,0.8696
chr21,1.0
chr21,1.0
chr21,1.0
chr21,0.92
chr21,0.7917
chr21,0.9583
chr21,0.9583
chr21,0.9583
chr21,0.8333
chr21,1.0
chr21,1.0
chr21,0.8095
chr21,0.9167
chr21,1.0
chr21,1.0
chr21,0.9583
chr21,0.9167
chr21,0.9412
chr21,0.85
chr21,0.9167
chr21,1.0
chr21,0.8462
chr21,1.0
chr21,1.0
chr21,0.8095
chr21,1.0
chr21,0.9583
chr21,1.0
chr21,1.0
chr21,0.8261
chr21,0.9048
chr21,1.0
chr21,0.7917
chr21,0.9444
chr21,0.9048
chr21,1.0
chr21,0.7619
chr21,0.75
chr21,0.75
chr21,0.75
chr21,0.6452
chr21,0.7778
chr21,0.7826
chr21,0.7826
chr21,0.7333
chr21,0.8182
chr21,0.6667
chr21,0.6552
chr21,0.7273
chr21,0.6667
chr21,0.6786
chr21,0.7619
chr21,0.7222
chr21,0.7273
chr21,0.75
chr21,0.7037
chr21,0.75
chr21,0.6667
chr21,0.7143
chr21,0.7273
chr21,0.7273
chr21,0.7273
chr21,0.7273
chr21,0.7037
chr21,0.75
chr21,0.7
chr21,0.8182
chr21,0.75
chr21,0.6452
chr21,0.7273
chr21,0.8182
chr21,0.7778
chr21,0.7368
chr21,0.8182
chr21,0.75
chr21,0.6061
chr21,0.75
chr21,0.8421
chr21,0.75
chr21,0.7273
chr21,0.75
chr21,0.75
chr21,0.7273
chr21,0.7619
chr21,0.7895
chr21,0.7143
chr21,0.7778
chr21,0.7619
chr21,0.75
chr21,0.9524
chr21,0.9524
chr21,0.9524
chr21,0.95
chr21,0.7727
chr21,0.9524
chr21,0.95
chr21,0.8571
chr21,0.85
chr21,0.9048
chr21,0.9
chr21,0.9091
chr21,0.9048
chr21,0.8095
chr21,0.9524
chr21,0.8571
chr21,0.9048
chr21,0.9524
chr21,0.9524
chr21,0.95
chr21,0.9048
chr21,0.8571
chr21,0.9048
chr21,0.9048
chr21,0.9048
chr21,0.8571
chr21,0.9524
chr21,0.9524
chr21,0.8636
chr21,0.8571
chr21,0.9524
chr21,0.95
chr21,0.9048
chr21,0.8571
chr21,0.9412
chr21,0.9048
chr21,0.8571
chr21,0.9524
chr21,0.8095
