chrom,fam,n,med,mn,mx,cv
chr13,ACRO,13,0.225673,0.120328,0.239639,0.298948562706845
chr13,DJ,13,0.331387,0.331003,0.333139,0.002644511194785382
chr13,HSat1A,29,1.135428,0.052178,2.486318,0.6930849451404671
chr13,HSat1B,16,0.0927125,0.077066,0.104413,0.08520674643049797
chr13,HSat3,26,0.442656,0.062775,0.891503,0.47072018837835883
chr13,OTHERSAT,4,0.053983,0.053983,0.056657,0.02446410437041984
chr13,SST1,27,0.097733,0.062474,0.104857,0.16284039590651125
chr13,aSat,1,0.117159,0.117159,0.117159,
chr13,bSat,20,0.0639235,0.061062,0.758161,0.9787801231038126
chr13,rDNA,15,0.139936,0.052814,0.351901,0.5955534427854583
chr14,ACRO,22,0.286223,0.073957,0.353886,0.3469538946769428
chr14,DJ,20,0.330269,0.297461,0.657709,0.2359329436865758
chr14,HSat1A,24,0.490969,0.06363,2.170277,0.7795082952350253
chr14,HSat1B,21,0.122032,0.068884,0.232727,0.45799979946306046
chr14,HSat3,32,0.596932,0.094169,2.399538,0.6107809330890928
chr14,OTHERSAT,18,0.0541835,0.053191,0.068936,0.12134232846121826
chr14,aSat,32,0.468081,0.159245,1.345283,0.7147873954904282
chr14,bSat,32,0.549802,0.062085,1.186712,0.5648327435493579
chr14,rDNA,23,0.161471,0.059219,0.363805,0.438825534053343
chr15,ACRO,14,0.087114,0.086792,0.303671,0.6142336703798862
chr15,DJ,14,0.3309765,0.328834,0.33152,0.003972710148665575
chr15,HSat1A,13,0.589871,0.074844,2.041685,0.6758818731106176
chr15,HSat1B,27,0.369724,0.283199,0.590731,0.22677738813188605
chr15,HSat3,32,3.0852665,0.17133,7.065535,0.6228901059207492
chr15,OTHERSAT,6,0.056855,0.056855,0.056855,0.0
chr15,aSat,23,0.387046,0.137551,1.172956,0.7295077514789307
chr15,bSat,24,0.485389,0.061129,0.824549,0.7601713334585638
chr15,rDNA,17,0.134485,0.051017,0.270421,0.47712211241060554
chr21,ACRO,12,0.210711,0.153689,0.348334,0.2803321541680372
chr21,DJ,12,0.3315705,0.326245,0.332966,0.005643796439739423
chr21,HSat1A,27,0.620631,0.080119,1.582551,0.7751034055281719
chr21,HSat1B,14,0.066268,0.062465,0.139674,0.27889601644089046
chr21,HSat3,23,0.593624,0.204378,1.767167,0.5483610347858541
chr21,OTHERSAT,10,0.0802945,0.068113,0.091653,0.15409634900574481
chr21,SST1,25,0.077964,0.069499,0.093469,0.09289562662824423
chr21,aSat,2,0.082175,0.078954,0.085396,0.0554326971025706
chr21,bSat,20,0.401896,0.061062,0.745485,0.7567089598056028
chr21,rDNA,16,0.145521,0.050005,0.690953,0.8664612584451117
chr22,ACRO,29,0.237607,0.061351,0.411306,0.5217285533919483
chr22,DJ,20,0.333048,0.314293,0.33318,0.02520913845746865
chr22,HSat1A,21,0.578671,0.062926,1.98551,0.7236754133429445
chr22,HSat1B,30,0.109913,0.072989,0.558035,0.8125056038647746
chr22,HSat3,34,0.740672,0.152613,1.449603,0.4333036091716171
chr22,OTHERSAT,5,0.057414,0.057414,0.057414,0.0
chr22,aSat,33,0.943756,0.537961,3.014139,0.45394568248092343
chr22,bSat,33,0.637072,0.067287,0.89765,0.43603770537094255
chr22,rDNA,25,0.184374,0.050357,0.656307,0.687271970679698
