arm,chrom,seg,truth,pred,post,bp
NA12877_h1_chr13,chr13,distal,ACRO,ACRO,0.7661870503597122,120328
NA12877_h1_chr13,chr13,distal,DJ,,,306103
NA12877_h1_chr13,chr13,proximal,SST1,HSat3,0.9817813765182185,97733
NA12877_h1_chr14,chr14,distal,ACRO,ACRO,0.841880341880342,108449
NA12877_h1_chr14,chr14,distal,ACRO,ACRO,0.7661870503597122,177774
NA12877_h1_chr14,chr14,distal,DJ,,,306460
NA12877_h2_chr14,chr14,distal,ACRO,ACRO,0.841880341880342,148280
NA12877_h2_chr14,chr14,distal,ACRO,ACRO,0.7661870503597122,136816
NA12877_h2_chr14,chr14,distal,DJ,,,305012
NA12877_h1_chr15,chr15,distal,ACRO,ACRO,0.7661870503597122,86792
NA12877_h1_chr15,chr15,distal,DJ,,,303868
NA12877_h2_chr15,chr15,distal,ACRO,ACRO,0.841880341880342,93842
NA12877_h2_chr15,chr15,distal,DJ,,,305687
NA12877_h1_chr21,chr21,proximal,SST1,HSat3,0.9813278008298756,93469
NA12877_h2_chr21,chr21,distal,ACRO,ACRO,0.841880341880342,194645
NA12877_h2_chr21,chr21,distal,ACRO,ACRO,0.7661870503597122,153689
NA12877_h2_chr21,chr21,distal,DJ,,,307697
NA12877_h2_chr21,chr21,proximal,SST1,HSat3,0.9813278008298756,77964
NA12877_h1_chr22,chr22,distal,ACRO,ACRO,0.841880341880342,214555
NA12877_h1_chr22,chr22,distal,ACRO,ACRO,0.7661870503597122,146014
NA12877_h1_chr22,chr22,distal,DJ,,,288980
NA12877_h2_chr22,chr22,distal,ACRO,ACRO,0.841880341880342,170466
NA12877_h2_chr22,chr22,distal,DJ,,,308025
NA12877_h2_chr22,chr22,proximal,ACRO,HSat3,0.8785488958990535,101343
NA12878_h2_chr13,chr13,distal,DJ,,,306980
NA12878_h2_chr13,chr13,proximal,SST1,HSat3,0.9817813765182185,104857
NA12878_h1_chr14,chr14,distal,DJ,,,306177
NA12878_h2_chr14,chr14,distal,ACRO,ACRO,0.841880341880342,177892
NA12878_h2_chr14,chr14,distal,ACRO,ACRO,0.7661870503597122,175994
NA12878_h2_chr14,chr14,distal,DJ,,,272215
NA12878_h1_chr15,chr15,distal,ACRO,ACRO,0.841880341880342,268716
NA12878_h1_chr15,chr15,distal,DJ,,,306217
NA12878_h1_chr21,chr21,distal,ACRO,ACRO,0.7661870503597122,172037
NA12878_h1_chr21,chr21,distal,DJ,,,300945
NA12878_h1_chr21,chr21,proximal,SST1,HSat3,0.9813278008298756,69500
NA12878_h2_chr21,chr21,distal,ACRO,ACRO,0.841880341880342,107695
NA12878_h2_chr21,chr21,distal,ACRO,ACRO,0.7661870503597122,103016
NA12878_h2_chr21,chr21,distal,DJ,,,306285
NA12878_h2_chr21,chr21,proximal,SST1,HSat3,0.9813278008298756,82193
NA12878_h1_chr22,chr22,distal,ACRO,ACRO,0.841880341880342,102426
NA12878_h1_chr22,chr22,distal,DJ,,,306509
NA12878_h2_chr22,chr22,proximal,ACRO,HSat3,0.8785488958990535,107635
NA12879_h1_chr13,chr13,proximal,SST1,HSat3,0.9817813765182185,104857
NA12879_h2_chr13,chr13,distal,ACRO,ACRO,0.841880341880342,93665
NA12879_h2_chr13,chr13,distal,ACRO,ACRO,0.7661870503597122,132008
NA12879_h2_chr13,chr13,distal,DJ,,,305715
NA12879_h2_chr13,chr13,proximal,SST1,HSat3,0.9817813765182185,99241
NA12879_h1_chr14,chr14,distal,ACRO,ACRO,0.841880341880342,108449
NA12879_h1_chr14,chr14,distal,ACRO,ACRO,0.7661870503597122,177774
NA12879_h1_chr14,chr14,distal,DJ,,,306462
NA12879_h2_chr14,chr14,distal,ACRO,ACRO,0.841880341880342,177892
NA12879_h2_chr14,chr14,distal,ACRO,ACRO,0.7661870503597122,175994
NA12879_h2_chr14,chr14,distal,DJ,,,272215
NA12879_h2_chr15,chr15,distal,ACRO,ACRO,0.841880341880342,268716
NA12879_h2_chr15,chr15,distal,DJ,,,306219
NA12879_h1_chr21,chr21,distal,ACRO,ACRO,0.841880341880342,194645
NA12879_h1_chr21,chr21,distal,ACRO,ACRO,0.7661870503597122,153689
NA12879_h1_chr21,chr21,distal,DJ,,,307696
NA12879_h1_chr21,chr21,proximal,SST1,HSat3,0.9813278008298756,77964
NA12879_h2_chr21,chr21,distal,ACRO,ACRO,0.841880341880342,107695
NA12879_h2_chr21,chr21,distal,ACRO,ACRO,0.7661870503597122,103016
NA12879_h2_chr21,chr21,distal,DJ,,,306289
NA12879_h2_chr21,chr21,proximal,SST1,HSat3,0.9813278008298756,82193
NA12879_h1_chr22,chr22,distal,ACRO,ACRO,0.841880341880342,214555
NA12879_h1_chr22,chr22,distal,ACRO,ACRO,0.7661870503597122,146014
NA12879_h1_chr22,chr22,distal,DJ,,,288978
NA12879_h2_chr22,chr22,distal,ACRO,ACRO,0.841880341880342,173699
NA12879_h2_chr22,chr22,distal,ACRO,ACRO,0.7661870503597122,129972
NA12879_h2_chr22,chr22,distal,DJ,,,307787
NA12879_h2_chr22,chr22,proximal,ACRO,HSat3,0.8785488958990535,107635
NA12881_h1_chr13,chr13,distal,ACRO,ACRO,0.7661870503597122,120328
