chrom,segment,slot,arms,Mb,med_kb,named_frac,top_pred,med_post,pct_arms
chr13,distal,1,22,3.646552,140.6135,1.0,ACRO,0.8491379310344828,16.05839416058394
chr13,distal,8,26,3.796971,68.7245,1.0,ACRO,0.9508928571428572,18.978102189781023
chr13,proximal,7,2,0.508962,254.481,1.0,HSat1B,0.9656862745098038,1.4598540145985401
chr13,proximal,11,2,0.229309,114.6545,1.0,HSat3,0.9869402985074627,1.4598540145985401
chr13,proximal,13,85,8.431254,85.046,1.0,HSat3,0.49074074074074064,62.043795620437955
chr13,proximal,15,1,0.053983,53.983,1.0,HSat3,0.9857723577235772,0.7299270072992701
chr14,distal,1,35,6.620189,145.684,1.0,ACRO,0.8491379310344828,21.73913043478261
chr14,distal,4,1,0.139275,139.275,1.0,HSat3,0.9926160337552743,0.6211180124223602
chr14,distal,6,1,0.061612,61.612,1.0,HSat3,0.9926778242677824,0.6211180124223602
chr14,distal,8,40,5.386945,68.503,1.0,ACRO,0.9508928571428572,24.84472049689441
chr14,distal,9,12,0.659992,53.191,0.0,,,7.453416149068323
chr14,proximal,5,2,0.27441,137.205,1.0,bSat,0.9296875,1.2422360248447204
chr14,proximal,6,7,0.631004,56.796,0.0,,,4.3478260869565215
chr14,proximal,9,1,0.051936,51.936,1.0,HSat3,0.8281249999999999,0.6211180124223602
chr14,proximal,10,2,0.132485,66.2425,0.0,,,1.2422360248447204
chr14,proximal,11,2,0.124817,62.4085,1.0,HSat3,0.9839449541284403,1.2422360248447204
chr14,proximal,13,62,4.851663,75.1015,1.0,HSat1B,0.6018518518518517,38.50931677018634
chr14,proximal,17,1,0.066649,66.649,1.0,HSat3,0.9886363636363635,0.6211180124223602
chr14,proximal,19,1,0.075017,75.017,1.0,HSat3,0.988095238095238,0.6211180124223602
chr15,distal,1,24,4.361765,162.757,1.0,ACRO,0.8491379310344828,20.0
chr15,distal,6,1,0.212662,212.662,1.0,HSat3,0.9926778242677824,0.8333333333333334
chr15,distal,8,25,3.919325,153.236,1.0,ACRO,0.9508928571428572,20.833333333333332
chr15,distal,9,5,3.341509,56.855,0.0,,,4.166666666666667
chr21,distal,1,23,4.382885,182.384,1.0,ACRO,0.8491379310344828,17.293233082706767
chr21,distal,8,25,4.275286,211.044,1.0,ACRO,0.9508928571428572,18.796992481203006
chr21,distal,9,1,0.068936,68.936,0.0,,,0.7518796992481203
chr21,proximal,11,2,0.148941,74.4705,1.0,HSat3,0.9868421052631579,1.5037593984962405
chr21,proximal,13,98,7.281178,70.8825,1.0,SST1,0.838235294117647,73.6842105263158
chr22,distal,1,47,9.794357,175.982,1.0,ACRO,0.8491379310344828,27.647058823529413
chr22,distal,6,3,0.240532,87.232,1.0,HSat3,0.9926778242677824,1.7647058823529411
chr22,distal,8,52,8.87173,171.3745,1.0,ACRO,0.9508928571428572,30.58823529411765
chr22,proximal,5,58,5.464611,69.3895,1.0,bSat,0.7794117647058824,34.11764705882353
chr22,proximal,7,1,0.075294,75.294,1.0,HSat3,0.9896449704142011,0.5882352941176471
chr22,proximal,12,3,0.212936,70.98,1.0,bSat,0.9874999999999999,1.7647058823529411
chr22,proximal,18,1,0.119678,119.678,1.0,HSat3,0.9897660818713451,0.5882352941176471
