arm,chrom,source,segment,slot,start,end,bp,pred,post,slot_sat_mass
NA12877_h2_chr14,chr14,pedigree,distal,9,2382234,2437410,55176,,,0.0097442143727162
NA12877_h1_chr15,chr15,pedigree,distal,9,3214617,3271472,56855,,,0.0097442143727162
NA12878_h2_chr13,chr13,pedigree,distal,8,2557057,2613714,56657,ACRO,0.9508928571428572,0.797153024911032
NA12878_h2_chr14,chr14,pedigree,distal,9,2010855,2064046,53191,,,0.0097442143727162
NA12878_h1_chr21,chr21,pedigree,distal,9,4002285,4071221,68936,,,0.0097442143727162
NA12879_h2_chr14,chr14,pedigree,distal,9,2004823,2058014,53191,,,0.0097442143727162
NA12882_h1_chr14,chr14,pedigree,distal,9,2381970,2437146,55176,,,0.0097442143727162
NA12882_h2_chr14,chr14,pedigree,distal,9,3327979,3396915,68936,,,0.0097442143727162
NA12882_h2_chr15,chr15,pedigree,distal,9,3214412,3271267,56855,,,0.0097442143727162
NA12883_h1_chr14,chr14,pedigree,distal,9,1836274,1889465,53191,,,0.0097442143727162
NA12884_h1_chr14,chr14,pedigree,distal,9,2005238,2058429,53191,,,0.0097442143727162
NA12885_h1_chr14,chr14,pedigree,distal,9,2380731,2435907,55176,,,0.0097442143727162
NA12885_h2_chr14,chr14,pedigree,distal,9,2003781,2056972,53191,,,0.0097442143727162
NA12887_h1_chr14,chr14,pedigree,distal,9,2001750,2054941,53191,,,0.0097442143727162
NA12887_h1_chr15,chr15,pedigree,distal,9,3198493,3255348,56855,,,0.0097442143727162
K200080_h1_chr13,chr13,pedigree,proximal,15,4068760,4122743,53983,HSat3,0.9857723577235772,0.9899396378269618
K200081_h2_chr15,chr15,pedigree,distal,9,500675,557530,56855,,,0.0097442143727162
K200084_h2_chr14,chr14,pedigree,distal,9,1951906,2005097,53191,,,0.0097442143727162
K200085_h2_chr14,chr14,pedigree,distal,9,2001068,2054259,53191,,,0.0097442143727162
HG00097_h1_chr21,chr21,censat,distal,1,66693,342838,276145,ACRO,0.8491379310344828,0.9789029535864978
HG00097_h1_chr21,chr21,censat,distal,8,2330630,2411868,81238,ACRO,0.9508928571428572,0.797153024911032
HG00097_h1_chr21,chr21,censat,proximal,13,7052125,7121664,69539,SST1,0.838235294117647,0.9315068493150686
HG00097_h1_chr22,chr22,censat,distal,1,67173,243155,175982,ACRO,0.8491379310344828,0.9789029535864978
HG00097_h1_chr22,chr22,censat,distal,8,2753647,3011226,257579,ACRO,0.9508928571428572,0.797153024911032
HG00097_h1_chr22,chr22,censat,proximal,5,4629290,4761715,132425,bSat,0.7794117647058824,0.9315068493150686
HG00097_h2_chr22,chr22,censat,distal,1,65875,318909,253034,ACRO,0.8491379310344828,0.9789029535864978
HG00097_h2_chr22,chr22,censat,distal,8,3295314,3354589,59275,ACRO,0.9508928571428572,0.797153024911032
HG00097_h2_chr22,chr22,censat,proximal,5,4963911,5033164,69253,bSat,0.7794117647058824,0.9315068493150686
HG00099_h2_chr22,chr22,censat,distal,1,77571,247564,169993,ACRO,0.8491379310344828,0.9789029535864978
HG00099_h2_chr22,chr22,censat,distal,8,2049703,2197799,148096,ACRO,0.9508928571428572,0.797153024911032
HG00099_h2_chr13,chr13,censat,proximal,13,3261419,3332351,70932,HSat3,0.49074074074074064,0.9557522123893807
HG00126_h1_chr21,chr21,censat,proximal,13,3304171,3375075,70904,SST1,0.838235294117647,0.9315068493150686
HG00126_h2_chr14,chr14,censat,distal,-1,2618131,2908165,290034,,,0.0
HG00126_h2_chr14,chr14,censat,distal,8,3009098,3070706,61608,ACRO,0.9508928571428572,0.797153024911032
HG00126_h2_chr21,chr21,censat,proximal,13,3239128,3315703,76575,SST1,0.838235294117647,0.9315068493150686
HG00128_h1_chr14,chr14,censat,distal,1,66453,677372,610919,ACRO,0.8491379310344828,0.9789029535864978
HG00128_h1_chr14,chr14,censat,distal,8,3853628,3908088,54460,ACRO,0.9508928571428572,0.797153024911032
HG00128_h1_chr15,chr15,censat,distal,1,7345,249962,242617,ACRO,0.8491379310344828,0.9789029535864978
HG00128_h1_chr15,chr15,censat,distal,6,2176001,2388663,212662,HSat3,0.9926778242677824,0.9947970863683663
HG00128_h1_chr15,chr15,censat,distal,8,2613312,2827188,213876,ACRO,0.9508928571428572,0.797153024911032
HG00128_h1_chr13,chr13,censat,proximal,13,3355012,3438632,83620,HSat3,0.49074074074074064,0.9557522123893807
HG00128_h2_chr15,chr15,censat,distal,1,6170,274175,268005,ACRO,0.8491379310344828,0.9789029535864978
HG00128_h2_chr14,chr14,censat,proximal,13,2733111,2803956,70845,HSat1B,0.6018518518518517,0.9557522123893807
HG00133_h2_chr22,chr22,censat,distal,1,70875,417451,346576,ACRO,0.8491379310344828,0.9789029535864978
HG00133_h2_chr22,chr22,censat,distal,8,2964929,3356041,391112,ACRO,0.9508928571428572,0.797153024911032
HG00133_h2_chr21,chr21,censat,proximal,13,3307220,3368267,61047,SST1,0.838235294117647,0.9315068493150686
HG00140_h1_chr14,chr14,censat,distal,1,74502,200942,126440,ACRO,0.8491379310344828,0.9789029535864978
HG00140_h1_chr14,chr14,censat,distal,8,2631172,2698983,67811,ACRO,0.9508928571428572,0.797153024911032
HG00140_h1_chr13,chr13,censat,proximal,13,3237634,3350877,113243,HSat3,0.49074074074074064,0.9557522123893807
HG00140_h1_chr21,chr21,censat,proximal,13,4118565,4186690,68125,SST1,0.838235294117647,0.9315068493150686
HG00140_h1_chr22,chr22,censat,proximal,5,1448452,1498788,50336,bSat,0.7794117647058824,0.9315068493150686
HG00140_h2_chr14,chr14,censat,distal,1,76605,230061,153456,ACRO,0.8491379310344828,0.9789029535864978
HG00140_h2_chr14,chr14,censat,distal,-1,3830228,4081526,251298,,,0.0
HG00140_h2_chr14,chr14,censat,distal,8,4182462,4244074,61612,ACRO,0.9508928571428572,0.797153024911032
HG00140_h2_chr14,chr14,censat,proximal,13,11146081,11197209,51128,HSat1B,0.6018518518518517,0.9557522123893807
HG00140_h2_chr22,chr22,censat,distal,1,78764,199030,120266,ACRO,0.8491379310344828,0.9789029535864978
HG00140_h2_chr22,chr22,censat,distal,-1,2217930,2285717,67787,,,0.0
HG00140_h2_chr22,chr22,censat,distal,8,2385991,2447599,61608,ACRO,0.9508928571428572,0.797153024911032
HG00140_h2_chr22,chr22,censat,proximal,5,4543940,4613201,69261,bSat,0.7794117647058824,0.9315068493150686
HG00140_h2_chr21,chr21,censat,proximal,13,3543630,3624426,80796,SST1,0.838235294117647,0.9315068493150686
HG00140_h2_chr13,chr13,censat,proximal,13,3968818,4122926,154108,HSat3,0.49074074074074064,0.9557522123893807
HG00146_h1_chr13,chr13,censat,proximal,13,3688223,3945818,257595,HSat3,0.49074074074074064,0.9557522123893807
HG00232_h1_chr13,chr13,censat,proximal,13,3710107,3772581,62474,HSat3,0.49074074074074064,0.9557522123893807
HG00232_h1_chr21,chr21,censat,distal,1,64964,395212,330248,ACRO,0.8491379310344828,0.9789029535864978
