child,chrom,hap,n_blocks,assigned,ident_transmitting,ident_other,size_div_transmitting,size_div_other,cols
NA12879,chr13,1,8,paternal,1.0,1.0,0.0713,0.0,8
NA12879,chr13,2,15,paternal,0.9333,0.9286,0.0,0.1031,15
NA12879,chr14,1,17,paternal,1.0,0.7333,0.0,0.4197,17
NA12879,chr14,2,14,maternal,1.0,0.6875,0.0,0.8722,14
NA12879,chr15,1,7,paternal,1.0,0.8333,0.0,0.7392,7
NA12879,chr15,2,14,maternal,0.9333,0.8667,0.0,0.3287,15
NA12879,chr21,1,16,maternal,1.0,1.0,0.2432,0.0,15
NA12879,chr21,2,17,maternal,1.0,0.8235,0.0,0.3389,17
NA12879,chr22,1,16,paternal,1.0,0.8333,0.0,0.3176,16
NA12879,chr22,2,21,maternal,1.0,0.9048,0.0,0.1062,12
NA12881,chr13,1,8,paternal,0.5,0.5,0.3663,0.4305,8
NA12881,chr14,1,12,maternal,0.8571,0.625,0.0,0.3865,14
NA12881,chr14,2,6,paternal,1.0,0.8333,0.0013,0.7369,6
NA12881,chr21,1,17,maternal,1.0,0.8235,0.0,0.3967,17
NA12881,chr21,2,6,paternal,1.0,1.0,0.0001,0.2122,6
NA12881,chr22,1,17,paternal,0.8947,0.8333,0.0,0.0986,19
NA12882,chr13,1,11,maternal,0.7273,0.7273,0.072,0.0,11
NA12882,chr13,2,8,paternal,1.0,1.0,0.0723,0.0,8
NA12882,chr14,1,19,paternal,0.95,0.6923,0.0,1.4712,20
NA12882,chr14,2,26,maternal,0.9231,0.6,0.0001,0.1987,13
NA12882,chr15,1,5,maternal,1.0,0.8333,0.0,0.7392,5
NA12882,chr15,2,14,paternal,1.0,0.8333,0.0,0.7392,14
NA12882,chr21,2,10,maternal,0.8,0.8,0.0967,0.282,10
NA12882,chr22,1,15,maternal,0.7647,0.75,0.4407,0.0019,17
NA12882,chr22,2,21,maternal,1.0,0.9048,0.0,0.096,12
NA12883,chr13,1,6,maternal,0.8333,0.6667,0.7471,0.3414,6
NA12883,chr13,2,12,paternal,0.8571,0.7692,0.0,0.2014,14
NA12883,chr14,1,14,maternal,1.0,0.6875,0.002,0.883,14
NA12883,chr14,2,11,maternal,0.6923,0.6667,0.5949,0.7958,13
NA12883,chr21,2,7,maternal,1.0,1.0,0.1658,0.0,7
NA12883,chr22,1,12,maternal,0.8333,0.75,0.3504,0.0002,12
NA12883,chr22,2,6,maternal,0.6667,0.6667,0.5281,0.6928,6
NA12884,chr13,1,11,paternal,0.9167,0.7692,0.1336,0.0824,12
NA12884,chr13,2,15,paternal,0.9286,0.8667,0.2767,0.0,14
NA12884,chr14,1,15,maternal,0.9333,0.75,0.0,0.5754,15
NA12884,chr14,2,15,paternal,0.8824,0.6923,0.0,0.4236,17
NA12884,chr15,1,16,paternal,0.9412,0.8667,0.0,0.3287,17
NA12884,chr15,2,5,maternal,1.0,0.8333,0.0,0.7392,5
NA12884,chr21,1,17,maternal,1.0,0.8235,0.0,0.3389,17
NA12884,chr21,2,14,paternal,0.875,0.8667,0.0,0.2432,16
NA12884,chr22,1,12,paternal,1.0,1.0,0.0966,0.0,12
NA12884,chr22,2,16,paternal,1.0,0.8333,0.0,0.3818,16
NA12885,chr13,1,14,maternal,0.9286,0.8667,0.0,0.1076,14
NA12885,chr13,2,13,paternal,0.9286,0.9231,0.0,0.0824,14
NA12885,chr14,1,20,paternal,1.0,0.6923,0.0,0.7519,20
NA12885,chr14,2,14,maternal,1.0,0.6875,0.0,0.7345,14
NA12885,chr15,1,13,maternal,1.0,0.7857,0.004,0.4663,5
NA12885,chr15,2,14,paternal,1.0,0.8333,0.0,0.7392,14
NA12885,chr21,1,17,maternal,1.0,0.8235,0.0,0.5027,17
NA12885,chr21,2,13,paternal,1.0,0.8,0.0,0.2006,7
NA12885,chr22,1,18,paternal,0.9474,0.9167,0.0,0.1103,19
NA12885,chr22,2,17,maternal,1.0,0.8333,0.0,0.3818,17
NA12886,chr13,1,7,maternal,1.0,1.0,0.0414,0.0,7
NA12886,chr13,2,15,paternal,0.9286,0.8667,0.2135,0.0,14
NA12886,chr14,1,17,paternal,1.0,0.7333,0.0,0.5949,17
NA12886,chr14,2,14,maternal,0.9286,0.75,0.0,0.4329,14
NA12886,chr15,1,6,maternal,1.0,0.8571,0.0,0.7716,5
NA12886,chr15,2,14,paternal,1.0,0.8333,0.0,0.7392,14
NA12886,chr21,2,14,paternal,1.0,0.7333,0.0,0.4005,7
NA12886,chr22,1,19,maternal,1.0,0.9474,0.0,0.1559,12
NA12886,chr22,2,16,paternal,1.0,0.8333,0.0,0.3608,16
NA12887,chr13,1,7,maternal,1.0,0.875,0.0059,0.2888,7
NA12887,chr14,1,14,maternal,1.0,0.6875,0.0,0.8722,14
NA12887,chr14,2,15,maternal,0.6923,0.6667,1.4712,0.0016,13
NA12887,chr15,1,14,paternal,1.0,0.8333,0.0001,0.7392,14
NA12887,chr15,2,8,maternal,1.0,0.875,0.0043,0.5012,8
NA12887,chr21,1,6,paternal,0.8571,0.75,0.0,0.1242,7
NA12887,chr21,2,7,maternal,0.875,0.7143,0.0,0.8608,8
NA12887,chr22,1,9,paternal,1.0,0.8889,0.0001,0.1634,9
NA12887,chr22,2,11,maternal,1.0,0.8333,0.0024,0.6708,11
