hap,chrom,arm_mb,scaffold_mb,reversed,n_ann
HG00097_hap1,chr13,6.36975,104.108838,False,112
HG00097_hap1,chr14,7.985714,99.31887,False,201
HG00097_hap1,chr15,9.75082,93.891461,False,107
HG00097_hap1,chr21,8.795839,42.900804,False,164
HG00097_hap1,chr22,9.431363,49.121287,False,184
HG00097_hap2,chr13,5.78867,103.610886,False,110
HG00097_hap2,chr14,7.170381,98.987319,False,162
HG00097_hap2,chr15,7.429689,91.651328,False,109
HG00097_hap2,chr21,9.27985,44.519255,False,129
HG00097_hap2,chr22,9.775654,49.215166,False,188
HG00099_hap1,chr13,1.967416,99.444006,False,28
HG00099_hap1,chr14,5.731858,97.08145,False,153
HG00099_hap1,chr15,11.967288,94.682723,False,117
HG00099_hap1,chr22,7.939485,45.649994,False,168
HG00099_hap2,chr13,5.637027,102.192835,False,112
HG00099_hap2,chr14,5.671355,95.364183,False,139
HG00099_hap2,chr15,11.482111,94.234348,False,142
HG00099_hap2,chr21,5.621093,40.018122,False,115
HG00099_hap2,chr22,10.197158,48.79032,False,205
HG00126_hap1,chr13,7.237274,104.682915,False,94
HG00126_hap1,chr15,3.784298,85.873917,False,120
HG00126_hap1,chr21,4.858891,39.88415,False,94
HG00126_hap1,chr22,6.19008,44.971035,False,156
HG00126_hap2,chr13,5.481034,102.765133,False,116
HG00126_hap2,chr14,10.194406,101.948476,False,203
HG00126_hap2,chr15,6.533305,89.376942,False,107
HG00126_hap2,chr21,4.810643,40.000609,False,104
HG00128_hap1,chr13,7.080626,104.645511,False,106
HG00128_hap1,chr14,12.160592,104.460688,False,237
HG00128_hap1,chr15,11.63558,97.209115,False,143
HG00128_hap1,chr22,6.647488,44.811703,False,150
HG00128_hap2,chr14,5.912044,95.996473,False,155
HG00128_hap2,chr15,13.768958,100.159484,False,158
HG00133_hap1,chr13,4.923364,102.606654,False,89
HG00133_hap1,chr14,10.65156,100.86035,False,239
HG00133_hap1,chr15,6.402574,90.788638,False,87
HG00133_hap1,chr21,3.892471,38.790532,False,87
HG00133_hap1,chr22,6.208305,44.58149,False,148
HG00133_hap2,chr13,5.469815,102.093812,False,97
HG00133_hap2,chr14,6.195388,97.853426,False,128
HG00133_hap2,chr15,8.007682,93.778834,False,147
HG00133_hap2,chr21,4.860655,40.06347,False,104
HG00133_hap2,chr22,10.586973,48.885474,False,203
HG00140_hap1,chr13,5.771552,102.680801,False,96
HG00140_hap1,chr14,9.172016,99.238952,False,179
HG00140_hap1,chr15,7.003849,90.984902,False,111
HG00140_hap1,chr21,5.850893,41.134988,False,111
HG00140_hap1,chr22,6.284082,44.76654,False,156
HG00140_hap2,chr13,5.742553,103.099465,False,108
HG00140_hap2,chr14,14.351375,105.110185,False,241
HG00140_hap2,chr15,11.425394,96.512004,False,114
HG00140_hap2,chr21,4.980927,41.22606,False,106
HG00140_hap2,chr22,9.245787,48.011516,False,202
HG00146_hap1,chr13,6.908118,104.332432,False,110
HG00146_hap2,chr13,6.632509,104.337619,False,120
HG00232_hap1,chr13,6.79828,105.62566,False,113
HG00232_hap1,chr14,7.419896,98.890381,False,194
HG00232_hap1,chr15,8.174577,93.577938,False,110
HG00232_hap1,chr21,8.516815,41.362241,False,136
HG00232_hap1,chr22,8.039942,46.588883,False,171
HG00232_hap2,chr13,7.15474,104.211907,False,117
HG00232_hap2,chr14,7.426405,100.142919,False,194
HG00232_hap2,chr15,15.150227,98.308585,False,177
HG00232_hap2,chr21,4.834531,39.678006,False,104
HG00232_hap2,chr22,8.00311,46.022573,False,178
HG00235_hap1,chr13,2.02163,99.492978,False,19
HG00235_hap1,chr14,9.600272,102.254662,False,205
HG00235_hap1,chr21,10.304488,48.044346,False,147
HG00235_hap2,chr13,6.256624,104.012467,False,106
HG00235_hap2,chr14,9.459941,100.755663,False,185
HG00235_hap2,chr15,11.755584,101.778679,False,120
HG00235_hap2,chr21,7.270679,42.53253,False,137
HG00235_hap2,chr22,14.562242,53.229129,False,271
