id,sample,hap,chrom,source,arm_mb,n_blocks,n_unspecified,unspecified_mb,syntax
NA12877_h1_chr13,NA12877,1,chr13,pedigree,8.821019,40,0,0.0,HSat3-HSat1A-NONSAT-ACRO-NONSAT-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12877_h2_chr13,NA12877,2,chr13,pedigree,8.416339,39,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-NONSAT-DJ-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12877_h1_chr14,NA12877,1,chr14,pedigree,10.930614,45,0,0.0,NONSAT-ACRO-NONSAT-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12877_h2_chr14,NA12877,2,chr14,pedigree,8.834376,46,1,0.055176,NONSAT-ACRO-NONSAT-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12877_h1_chr15,NA12877,1,chr15,pedigree,10.441063,41,1,0.056855,NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-rDNA-NONSAT-HSat1B-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12877_h2_chr15,NA12877,2,chr15,pedigree,11.57456,55,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-NONSAT-HSat1B-NONSAT-HSat3-NONSAT-aSat-NONSAT-aSat
NA12877_h1_chr21,NA12877,1,chr21,pedigree,4.96909,16,0,0.0,rDNA-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT
NA12877_h2_chr21,NA12877,2,chr21,pedigree,8.535175,38,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12877_h1_chr22,NA12877,1,chr22,pedigree,11.80824,43,0,0.0,ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12877_h2_chr22,NA12877,2,chr22,pedigree,10.851386,48,0,0.0,ACRO-NONSAT-bSat-NONSAT-HSat3-HSat1A-HSat3-NONSAT-DJ-rDNA-NONSAT-HSat1B-HSat3-NONSAT-ACRO-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12878_h1_chr13,NA12878,1,chr13,pedigree,8.10994,35,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12878_h2_chr13,NA12878,2,chr13,pedigree,8.893641,47,1,0.056657,NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-UNK-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
NA12878_h1_chr14,NA12878,1,chr14,pedigree,9.852477,38,0,0.0,NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-aSat
NA12878_h2_chr14,NA12878,2,chr14,pedigree,9.544297,38,1,0.053191,NONSAT-ACRO-NONSAT-bSat-NONSAT-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-rDNA-NONSAT-HSat3-HSat1B-NONSAT-aSat
NA12878_h1_chr15,NA12878,1,chr15,pedigree,14.997969,55,0,0.0,NONSAT-ACRO-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat1B-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT
NA12878_h2_chr15,NA12878,2,chr15,pedigree,8.782629,28,0,0.0,NONSAT-HSat1B-NONSAT-HSat3-NONSAT-aSat
NA12878_h1_chr21,NA12878,1,chr21,pedigree,9.280019,32,1,0.068936,NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-UNK-DJ-rDNA-NONSAT-HSat1B-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT
NA12878_h2_chr21,NA12878,2,chr21,pedigree,8.697948,40,0,0.0,NONSAT-ACRO-NONSAT-bSat-NONSAT-bSat-HSat3-HSat1A-HSat3-NONSAT-ACRO-DJ-rDNA-NONSAT-HSat3-NONSAT-HSat3-NONSAT-HSat3-NONSAT-SST1-NONSAT-HSat1A
