read_len_bp,chr13,chr14,chr15,chr21,chr22,ctrl,chr2_all
100,10.586564188320041,35.40177368212446,15.06785178967564,22.790404086472684,33.87027682202064,98.049065,95.70630347784794
150,15.623900180087471,45.40759017043203,18.98375202350261,29.897792575025083,42.96886143259306,98.882375,96.76032005570474
250,23.608258296887062,58.38538446294095,24.7246537562204,39.76992611511447,54.73837973099781,99.471425,97.67879547065384
500,37.08152173913044,74.25262584225129,34.98039450806403,53.28851591717596,68.99587112918361,99.77458999999999,98.48871813496704
1000,51.93172755338307,84.73140110978993,49.27726482403022,64.67622001277023,79.49319674695026,99.869465,99.0310785040914
2000,65.16347440185233,89.48404676971859,65.36436836740812,72.11280671349083,86.66802471066624,99.89938000000001,99.42117807987805
5000,75.21573835863134,92.34336107808166,80.3473409676839,76.37891088205782,92.08931029089771,99.97393,99.74363274544358
10000,77.48924620529972,93.5976317875545,85.59702020504827,77.91389218279669,93.8939083515796,100.0,99.8814017914834
20000,78.27736043220993,94.26993658343243,87.24548234306613,78.59612332390769,94.52112918360963,100.0,99.96599707275851
50000,78.78970928736815,94.57049147839874,88.08481323820374,79.1864088296999,94.81581169846731,100.0,99.99999175926342
100000,79.43287882685875,95.06593341260404,88.9841477306793,80.09856791024355,95.20680325304973,100.0,99.99999175926342
200000,80.97079367121172,96.05681728101466,90.78281671563043,81.92288607133084,95.98878636221457,100.0,99.99999175926342
500000,82.90030228968355,99.02946888624653,96.17882367048384,87.39584055459272,98.3347356897091,100.0,99.99999175926342
1000000,86.11614998713661,100.0,100.0,94.05464745051538,100.0,100.0,99.99999175926342
