fam,chr13,chr14,chr15,chr21,chr22,total
rDNA,3577493,718274,2201043,2504417,926856,9928083
bsat,252738,1191027,994927,1033402,2644855,6116949
hsat1A,6533270,117765,308910,911880,922739,8794564
hsat1B,97167,93127,444131,66373,390439,1091237
hsat2,0,0,0,0,1992,1992
hsat3,1055866,1883835,8750324,1602801,2243143,15535969
gsat,18951,24867,16045,26379,25371,111613
hor,55097,151736,835892,88835,571082,1702642
dhor,0,24609,14334,0,22836,61779
mon,613912,1128031,882970,619984,528205,3773102
censat,412735,869002,428567,536702,816283,3063289
ct,2930771,3889727,1801857,3572227,3694199,15888781
unannotated,0,0,0,0,0,0
