tig,sample,hap,chrom,arm_mb,nblocks,syntax,complete
K200080_1_haplotype1-0000006_chr14,K200080,1,chr14,7.949828,5,bSat-HSat1B-HSat3-HSat3-aSat,False
K200080_1_haplotype1-0000016_chr22,K200080,1,chr22,9.675334,12,rDNA-rDNA-bSat-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,False
K200080_1_haplotype1-0000024_chr13,K200080,1,chr13,5.309353,9,rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-SST1-OTHERSAT-HSat1A,False
K200080_1_haplotype1-0000026_chr15,K200080,1,chr15,10.01137,11,HSat3-bSat-ACRO-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-aSat,True
K200080_1_haplotype1-0000030_chr21,K200080,1,chr21,0.080383,1,HSat1A,False
K200080_2_haplotype2-0000055_chr14,K200080,2,chr14,6.424207,6,rDNA-bSat-HSat3-HSat1B-HSat3-aSat,False
K200080_2_haplotype2-0000063_chr22,K200080,2,chr22,9.553063,21,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-rDNA-bSat-HSat3-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,True
K200080_2_haplotype2-0000071_chr15,K200080,2,chr15,11.786114,5,HSat3-bSat-HSat1B-HSat3-HSat3,False
K200080_2_haplotype2-0000075_chr13,K200080,2,chr13,4.960495,7,rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-HSat1A,False
K200080_2_haplotype2-0000081_chr21,K200080,2,chr21,0.046049,0,,False
K200081_1_haplotype1-0000011_chr15,K200081,1,chr15,8.805869,5,HSat3-bSat-HSat1B-HSat3-HSat3,False
K200081_1_haplotype1-0000015_chr21,K200081,1,chr21,0.015429,0,,False
K200081_1_haplotype1-0000019_chr22,K200081,1,chr22,9.886425,21,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-ACRO-DJ-rDNA-rDNA-bSat-HSat3-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,True
K200081_1_haplotype1-0000023_chr13,K200081,1,chr13,3.463701,3,HSat3-SST1-HSat1A,False
K200081_1_haplotype1-0000027_chr14,K200081,1,chr14,9.192384,12,HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-HSat3-bSat-HSat3-bSat-bSat-aSat,True
K200081_2_haplotype2-0000049_chr15,K200081,2,chr15,7.582958,13,HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-rDNA-bSat-HSat1B-HSat3-HSat3-HSat3-aSat,True
K200081_2_haplotype2-0000055_chr21,K200081,2,chr21,0.050011,0,,False
K200081_2_haplotype2-0000060_chr22,K200081,2,chr22,8.307457,17,HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,True
K200081_2_haplotype2-0000065_chr13,K200081,2,chr13,5.149957,8,bSat-HSat3-HSat1B-HSat3-SST1-OTHERSAT-HSat1A-HSat1A,False
K200081_2_haplotype2-0000071_chr14,K200081,2,chr14,6.414685,6,rDNA-bSat-HSat3-HSat1B-HSat3-aSat,False
K200082_1_haplotype1-0000003_chr22,K200082,1,chr22,7.570932,11,rDNA-bSat-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,False
K200082_1_haplotype1-0000010_chr14,K200082,1,chr14,9.668341,10,HSat3-HSat1A-HSat3-ACRO-DJ-bSat-HSat1B-HSat3-HSat3-aSat,False
K200082_1_haplotype1-0000020_chr21,K200082,1,chr21,6.689123,13,HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-rDNA-bSat-HSat3-HSat3-HSat3-SST1-HSat1A,True
K200082_1_haplotype1-0000028_chr15,K200082,1,chr15,4.372249,3,HSat3-HSat3-aSat,False
K200082_2_haplotype2-0000121_chr22,K200082,2,chr22,7.008319,11,bSat-HSat3-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,False
K200082_2_haplotype2-0000128_chr14,K200082,2,chr14,8.190041,7,rDNA-HSat3-bSat-HSat3-bSat-bSat-aSat,False
K200082_2_haplotype2-0000136_chr21,K200082,2,chr21,4.746613,7,bSat-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,False
K200082_2_haplotype2-0000146_chr15,K200082,2,chr15,8.317872,1,HSat3,False
K200084_1_haplotype1-0000007_chr15,K200084,1,chr15,9.982685,12,HSat1A-HSat3-bSat-ACRO-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-aSat,True
K200084_1_haplotype1-0000012_chr21,K200084,1,chr21,4.777101,7,bSat-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,False
K200084_1_haplotype1-0000018_chr14,K200084,1,chr14,9.459599,9,ACRO-bSat-HSat3-HSat1A-bSat-HSat1B-HSat3-HSat3-aSat,False
K200084_1_haplotype1-0000019_chr13,K200084,1,chr13,3.592569,3,SST1-HSat1A-HSat1A,False
K200084_1_haplotype1-0000026_chr22,K200084,1,chr22,9.827919,21,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-ACRO-DJ-rDNA-rDNA-bSat-HSat3-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,True
K200084_2_haplotype2-0000070_chr15,K200084,2,chr15,11.857634,8,rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-HSat3-HSat3,False
K200084_2_haplotype2-0000074_chr21,K200084,2,chr21,4.462803,5,HSat1B-HSat3-HSat3-SST1-HSat1A,False
K200084_2_haplotype2-0000078_chr14,K200084,2,chr14,10.063186,14,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat3-HSat3-HSat1B-aSat,True
K200084_2_haplotype2-0000083_chr13,K200084,2,chr13,5.041337,8,bSat-HSat3-HSat1B-HSat3-HSat3-SST1-OTHERSAT-HSat1A,False
K200084_2_haplotype2-0000088_chr22,K200084,2,chr22,9.677963,21,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,True
K200085_1_haplotype1-0000001_chr22,K200085,1,chr22,10.326249,17,HSat1A-HSat3-ACRO-DJ-rDNA-rDNA-bSat-HSat3-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,True
K200085_1_haplotype1-0000012_chr21,K200085,1,chr21,4.966599,7,rDNA-bSat-HSat3-HSat3-HSat3-SST1-HSat1A,False
K200085_1_haplotype1-0000015_chr13,K200085,1,chr13,6.902385,10,ACRO-bSat-bSat-HSat3-HSat1A-HSat1A-HSat3-DJ-rDNA-HSat1A,True
K200085_1_haplotype1-0000025_chr15,K200085,1,chr15,8.106308,6,HSat3-HSat3-HSat3-HSat1B-HSat3-HSat3,False
K200085_1_haplotype1-0000026_chr14,K200085,1,chr14,6.27245,6,rDNA-bSat-HSat3-HSat1B-HSat3-aSat,False
K200085_2_haplotype2-0000042_chr22,K200085,2,chr22,10.186576,20,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-aSat,True
K200085_2_haplotype2-0000053_chr21,K200085,2,chr21,3.654301,2,SST1-HSat1A,False
K200085_2_haplotype2-0000056_chr13,K200085,2,chr13,3.917761,2,SST1-HSat1A,False
K200085_2_haplotype2-0000063_chr15,K200085,2,chr15,10.416419,11,ACRO-HSat3-HSat1A-HSat3-bSat-ACRO-DJ-HSat1B-HSat3-HSat3-aSat,False
K200085_2_haplotype2-0000064_chr14,K200085,2,chr14,10.243035,14,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat3-HSat3-HSat1B-aSat,True
K200086_1_haplotype1-0000024_chr21,K200086,1,chr21,3.627259,4,HSat3-HSat3-SST1-aSat,False
K200086_1_haplotype1-0000033_chr22,K200086,1,chr22,5.398627,6,bSat-HSat3-bSat-bSat-HSat3-aSat,False
K200086_2_haplotype2-0000166_chr21,K200086,2,chr21,0.116753,1,aSat,False
K200086_2_haplotype2-0000168_chr15,K200086,2,chr15,3.636301,3,HSat1B-HSat3-HSat3,False
K200086_2_haplotype2-0000178_chr22,K200086,2,chr22,2.049945,7,bSat-rDNA-rDNA-DJ-OTHERSAT-ACRO-HSat3,True
K200087_1_haplotype1-0000002_chr14,K200087,1,chr14,7.720696,5,bSat-HSat1B-HSat3-HSat3-aSat,False
K200087_1_haplotype1-0000014_chr15,K200087,1,chr15,6.209424,8,HSat3-HSat3-HSat1B-bSat-rDNA-HSat3-HSat3-aSat,False
K200087_1_haplotype1-0000020_chr21,K200087,1,chr21,0.022054,0,,False
K200087_1_haplotype1-0000031_chr22,K200087,1,chr22,5.837374,8,HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,False
K200087_2_haplotype2-0000194_chr14,K200087,2,chr14,7.465884,5,bSat-HSat3-bSat-bSat-aSat,False
K200087_2_haplotype2-0000205_chr13,K200087,2,chr13,2.235783,2,SST1-HSat1A,False
K200087_2_haplotype2-0000206_chr15,K200087,2,chr15,5.490562,5,HSat3-HSat3-HSat1B-HSat3-aSat,False
K200087_2_haplotype2-0000214_chr21,K200087,2,chr21,0.013161,0,,False
K200087_2_haplotype2-0000227_chr22,K200087,2,chr22,6.439425,9,HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,False
NA12877_1_haplotype1-0000001_chr13,NA12877,1,chr13,8.821019,14,HSat3-HSat1A-HSat3-ACRO-DJ-rDNA-rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,True
NA12877_1_haplotype1-0000013_chr14,NA12877,1,chr14,10.930614,17,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-rDNA-HSat3-bSat-HSat3-bSat-bSat-aSat,True
NA12877_1_haplotype1-0000014_chr15,NA12877,1,chr15,10.441063,14,bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat1B-HSat3-HSat3-HSat3-aSat,True
NA12877_1_haplotype1-0000020_chr22,NA12877,1,chr22,11.80824,16,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-DJ-rDNA-HSat1B-HSat3-HSat3-bSat-HSat3-bSat-HSat3-aSat,True
NA12877_1_haplotype1-0000023_chr21,NA12877,1,chr21,4.96909,7,rDNA-bSat-HSat1B-HSat3-HSat3-SST1-HSat1A,False
NA12877_2_haplotype2-0000046_chr13,NA12877,2,chr13,8.416339,14,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-DJ-bSat-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,False
NA12877_2_haplotype2-0000056_chr14,NA12877,2,chr14,8.834376,20,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-rDNA-bSat-HSat3-HSat1B-HSat3-bSat-HSat3-bSat-bSat-HSat3-aSat,True
NA12877_2_haplotype2-0000057_chr15,NA12877,2,chr15,11.57456,17,ACRO-bSat-HSat3-HSat1A-HSat3-DJ-rDNA-rDNA-bSat-HSat3-HSat1B-HSat3-HSat1B-HSat3-HSat3-aSat-aSat,True
NA12877_2_haplotype2-0000064_chr21,NA12877,2,chr21,8.535175,16,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,True
NA12877_2_haplotype2-0000070_chr22,NA12877,2,chr22,10.851386,19,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,True
NA12878_1_haplotype1-0000005_chr13,NA12878,1,chr13,8.10994,13,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-rDNA-bSat-HSat3-HSat3-HSat3-SST1-HSat1A,False
NA12878_1_haplotype1-0000007_chr15,NA12878,1,chr15,14.997969,15,ACRO-bSat-HSat3-HSat1A-HSat3-DJ-rDNA-rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-HSat3-HSat3,True
NA12878_1_haplotype1-0000008_chr22,NA12878,1,chr22,12.857736,17,ACRO-bSat-HSat3-HSat1A-HSat3-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-bSat-HSat3-bSat-HSat3-aSat,True
NA12878_1_haplotype1-0000009_chr21,NA12878,1,chr21,9.280019,15,bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,True
NA12878_1_haplotype1-0000013_chr14,NA12878,1,chr14,9.852477,13,bSat-HSat3-HSat1A-HSat3-DJ-rDNA-bSat-HSat3-bSat-HSat3-bSat-HSat3-aSat,True
NA12878_2_haplotype2-0000030_chr13,NA12878,2,chr13,8.893641,14,bSat-HSat3-HSat1A-HSat3-OTHERSAT-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,True
NA12878_2_haplotype2-0000032_chr21,NA12878,2,chr21,8.697948,17,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-bSat-HSat3-HSat3-HSat3-SST1-HSat1A,True
NA12878_2_haplotype2-0000037_chr22,NA12878,2,chr22,7.343553,12,rDNA-bSat-HSat3-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,False
NA12878_2_haplotype2-0000041_chr14,NA12878,2,chr14,9.544297,14,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat3-HSat3-HSat1B-aSat,True
NA12878_2_haplotype2-0000044_chr15,NA12878,2,chr15,8.782629,5,bSat-HSat1B-HSat3-HSat3-aSat,False
NA12879_1_haplotype1-0000002_chr13,NA12879,1,chr13,5.890123,8,rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,False
NA12879_1_haplotype1-0000013_chr15,NA12879,1,chr15,6.639682,7,rDNA-bSat-HSat1B-HSat3-HSat3-HSat3-aSat,False
NA12879_1_haplotype1-0000015_chr14,NA12879,1,chr14,11.208101,17,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-rDNA-HSat3-bSat-HSat3-bSat-bSat-aSat,True
NA12879_1_haplotype1-0000018_chr22,NA12879,1,chr22,11.425597,16,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-DJ-rDNA-HSat1B-HSat3-HSat3-bSat-HSat3-bSat-HSat3-aSat,True
NA12879_1_haplotype1-0000019_chr21,NA12879,1,chr21,8.5375,16,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,True
NA12879_2_haplotype2-0000075_chr15,NA12879,2,chr15,14.994516,14,ACRO-bSat-HSat3-HSat1A-HSat3-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-HSat3-HSat3,True
NA12879_2_haplotype2-0000083_chr14,NA12879,2,chr14,10.116146,14,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat3-HSat3-HSat1B-aSat,True
NA12879_2_haplotype2-0000086_chr22,NA12879,2,chr22,11.634912,21,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-ACRO-DJ-rDNA-rDNA-bSat-HSat3-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,True
NA12879_2_haplotype2-0000087_chr21,NA12879,2,chr21,8.568673,17,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-bSat-HSat3-HSat3-HSat3-SST1-HSat1A,True
NA12879_2_haplotype2-0000092_chr13,NA12879,2,chr13,8.396911,15,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,True
NA12881_1_haplotype1-0000002_chr15,NA12881,1,chr15,3.182594,3,HSat3-aSat-aSat,False
NA12881_1_haplotype1-0000007_chr21,NA12881,1,chr21,8.517988,17,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-bSat-HSat3-HSat3-HSat3-SST1-HSat1A,True
NA12881_1_haplotype1-0000010_chr13,NA12881,1,chr13,7.556208,8,HSat3-HSat1A-HSat3-ACRO-DJ-rDNA-SST1-HSat1A,True
NA12881_1_haplotype1-0000011_chr14,NA12881,1,chr14,9.675621,12,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-bSat-HSat3-HSat1B-aSat,False
NA12881_1_haplotype1-0000024_chr22,NA12881,1,chr22,10.633703,17,ACRO-bSat-bSat-HSat3-HSat1A-HSat3-DJ-bSat-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,False
NA12881_2_haplotype2-0000055_chr15,NA12881,2,chr15,4.354575,2,HSat3-aSat,False
NA12881_2_haplotype2-0000058_chr21,NA12881,2,chr21,4.665261,6,HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,False
NA12881_2_haplotype2-0000061_chr13,NA12881,2,chr13,4.913914,4,HSat3-SST1-HSat1A-aSat,False
NA12881_2_haplotype2-0000062_chr14,NA12881,2,chr14,7.394743,6,HSat3-bSat-HSat3-bSat-bSat-aSat,False
NA12881_2_haplotype2-0000077_chr22,NA12881,2,chr22,6.141785,3,bSat-HSat3-aSat,False
NA12882_1_haplotype1-0000004_chr22,NA12882,1,chr22,11.802558,15,DJ-ACRO-HSat3-HSat1A-HSat3-bSat-ACRO-HSat1B-HSat3-HSat3-bSat-HSat3-bSat-HSat3-aSat,False
NA12882_1_haplotype1-0000010_chr21,NA12882,1,chr21,2.876771,2,SST1-HSat1A,False
NA12882_1_haplotype1-0000016_chr14,NA12882,1,chr14,8.780745,19,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-bSat-HSat3-bSat-bSat-HSat3-aSat,True
NA12882_1_haplotype1-0000019_chr15,NA12882,1,chr15,9.483655,5,bSat-HSat1B-HSat3-HSat3-aSat,False
NA12882_1_haplotype1-0000028_chr13,NA12882,1,chr13,8.596684,11,DJ-ACRO-HSat3-HSat1A-bSat-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,False
NA12882_2_haplotype2-0000099_chr22,NA12882,2,chr22,11.370322,21,ACRO-bSat-bSat-HSat3-HSat1A-HSat1A-HSat3-ACRO-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-ACRO-bSat-HSat3-bSat-bSat-HSat3-aSat,True
NA12882_2_haplotype2-0000107_chr21,NA12882,2,chr21,5.944736,10,rDNA-bSat-HSat1B-HSat3-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,False
NA12882_2_haplotype2-0000112_chr14,NA12882,2,chr14,14.521957,26,bSat-HSat3-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-HSat3-HSat1A-HSat3-DJ-rDNA-bSat-HSat3-bSat-HSat3-bSat-HSat3-aSat,True
NA12882_2_haplotype2-0000116_chr15,NA12882,2,chr15,10.304418,14,bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat1B-HSat3-HSat3-HSat3-aSat,True
NA12882_2_haplotype2-0000122_chr13,NA12882,2,chr13,5.823769,8,rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-SST1-HSat1A,False
NA12883_1_haplotype1-0000004_chr13,NA12883,1,chr13,5.579804,6,HSat3-HSat3-HSat1B-HSat3-SST1-HSat1A,False
NA12883_1_haplotype1-0000019_chr21,NA12883,1,chr21,2.398136,2,SST1-HSat1A,False
NA12883_1_haplotype1-0000024_chr22,NA12883,1,chr22,10.78284,12,ACRO-bSat-HSat3-HSat1A-HSat1B-HSat3-HSat3-bSat-HSat3-bSat-HSat3-aSat,False
