chrom,fam,start,end,bp,med_mu,f150,f10k,f100k,f1M
chr13,hsat3,2540,65257,62717,327.0,0.2262863338488767,1.0,1.0,1.0
chr13,hsat1A,65257,4973153,4907896,658.0,0.14451732473548748,0.9899944905108014,1.0,1.0
chr13,bsat,4973153,5000116,26963,843.0,0.08889960315988577,1.0,1.0,1.0
chr13,hsat3,5000116,5152650,152534,530.0,0.14721308036241101,1.0,1.0,1.0
chr13,ct,5152650,5264112,111462,349.0,0.25711901814071164,1.0,1.0,1.0
chr13,ct,5271696,5325025,53329,744.0,0.08655703275891166,1.0,1.0,1.0
chr13,censat,5369400,5424523,55123,303.0,0.3540990149302469,1.0,1.0,1.0
chr13,ct,5424523,5448211,23688,103.0,0.6751519756838906,1.0,1.0,1.0
chr13,ct,5467957,5638362,170405,394.0,0.28162319180775214,1.0,1.0,1.0
chr13,ct,5650823,5770548,119725,335.0,0.27159741073292964,0.9865274587596575,1.0,1.0
chr13,rDNA,5770548,9348041,3577493,1369915.0,0.0038616427761004705,0.0561362384217104,0.10614052913590606,0.3965995181541935
chr13,ct,9356166,9389035,32869,2088.0,0.05105114241382458,1.0,1.0,1.0
chr13,ct,9405275,9429676,24401,3091.0,0.03458874636285398,1.0,1.0,1.0
chr13,ct,9438504,9594120,155616,1573.5,0.0419622660908904,1.0,1.0,1.0
chr13,hsat3,9594120,9627520,33400,1255.0,0.04874251497005988,1.0,1.0,1.0
chr13,bsat,9627520,9796372,168852,1327.0,0.05657617321678156,0.9806220832444982,1.0,1.0
chr13,hsat3,9802883,9891532,88649,435.0,0.171462735056233,1.0,1.0,1.0
chr13,ct,9891532,9940993,49461,1131.0,0.05796486120377671,1.0,1.0,1.0
chr13,ct,9967744,10154534,186790,303.0,0.30504845013116333,1.0,1.0,1.0
chr13,hsat1B,10165986,10219675,53689,86.0,0.6350835366648662,1.0,1.0,1.0
chr13,hsat3,10219675,10407295,187620,62.0,0.8343673382368617,1.0,1.0,1.0
chr13,ct,10428614,10451876,23262,132.0,0.5562290430745421,1.0,1.0,1.0
chr13,censat,10513356,10627789,114433,134.0,0.5514056259994932,1.0,1.0,1.0
chr13,hsat3,10627789,10733822,106033,79.0,0.7769467995812624,1.0,1.0,1.0
